Sample,18_1(d7)_Lyso_PC+H,18_1(d7)_Lyso_PE+H,18_1(d7)_Lyso_PE-H,18_1(d7)_MAG+H,18_1(d7)_MAG+NH4,15_0-18_1(d7)_PI-H,15_0-18_1(d7)_PS-H,15_0-18_1(d7)_PG-H,Cholesterol(d7)+H-H2O,d18_1-18_1(d9)_SM+H,d18_1-15_0(d7)_Cer+H,d18_1-15_0(d7)_Cer+H-H2O,15_0-18_1(d7)_PC+H,15_0-18_1(d7)_PE+H,15_0-18_1(d7)_DAG+NH4,15_0-18_1(d7)-15_0_TAG+NH4,18_1(d7)_Chol_Ester+NH4
QC_1,152115285,24937559.52,33122872.75,60262.58681,NF,6731767.618,8130774.989,36552234.61,NF,254989848.9,28569869.53,212640344.6,348413468,60630965.32,1399440.7,285037153.4,111515.2054
Y4_N,120555087.9,17626852.25,23736143.12,70002.59899,NF,5915583.337,6665595.673,29279185.46,NF,239857408,26866343.49,237056719.4,351112828.3,49852503.95,1439010.822,263118167.6,26589.68665
Y4_E,129635416.1,16651223.91,23339641.82,51235.65274,NF,6079134.686,5455008.749,34198283.76,NF,224883019.2,25589322.82,202546129.4,302659939.7,43162751.58,1247211.38,244793623.9,37023.99049
Y5_M,176693991.1,33997820.37,45494743.43,65042.01155,NF,4026691.104,7153343.501,36984030.07,NF,268717649.9,32768880.96,256149787.7,370779638.8,90301985.27,1669286.731,333367374.7,144093.7101
O8_A,161774291.4,31504694.18,41355327.7,54858.10042,NF,5724033.311,6604733.991,37957042.72,NF,246459418.1,24788574.02,194151975.1,274208037.5,69229384.61,1416455.913,271564412.8,208613.2264
Y5_P,131942429.5,23627486.57,31921634.07,36881.89177,NF,6360280.273,6454502.237,33572695.31,NF,238478593,25897469.57,214052008.8,314821147.4,61479007.53,1539319.295,252714093.4,113529.3319
O7_E,149232601.2,24590764.29,32721958.09,46709.14824,NF,6874748.287,7120018.664,38731991.92,NF,237540812.9,23327257.99,188086678.9,332568589.4,59570317.9,1504282.869,283545070.9,195208.5573
Y6_F,143407606,22182126.63,30473679.55,58431.87262,NF,8177243.24,7612893.52,36499450.12,NF,237838079,24971367.07,209793239,345445308.2,55712852.86,1557228.761,294968799.7,160304.3721
O5_M,131437421.2,18792656.64,25879209.33,52968.24838,NF,6612987.849,5640748.429,34803062.66,NF,245581208.9,27009798.18,207425629.8,321818005.4,46954530.49,1456573.59,244360753.2,63675.05628
Y6_N,143474240.7,22050841.4,28895200.13,41993.91855,NF,6124771.416,9010267.01,34360845.83,NF,244514410.6,26144354.41,200434819.9,339518278.7,56125934.4,1378619.563,302517498.7,109335.2992
