Compound,m.z,Retention.time..min.,Intensity,Mode,Y1-act-11,Y1-qui-try-11,Y1-qui-scr-11,Y2-act-11,Y2-qui-try-11,Y2-qui-scr-11,Y3-act-11,Y3-qui-try-11,Y3-qui-scr-11,O1-act-11,O1-qui-try-11,O1-qui-scr-11,O2-act-11,O2-qui-try-11,O2-qui-scr-11,O3-act-11,O3-qui-try-11,O3-qui-scr-11,Y1-act-8,Y1-qui-8,Y2-act-8,Y2-qui-8,Y3-act-8,Y3-qui-8,O1-act-8,O1-qui-8,O2-act-8,O2-qui-8,O3-act-8,O3-qui-8,Act-Adherent-1,Act-Adherent-2,Act-suspension-1,Act-suspension-2,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
1.30_358.2944m/z,358.2944,1.30,842.2935513,Accucore_C18_pos,3.8E+02,6.8E+04,3.7E+04,4.3E+02,6.9E+04,4.5E+04,3.0E+02,5.2E+04,2.0E+04,0.0E+00,1.0E+04,1.5E+03,2.0E+02,2.6E+04,2.0E+03,9.0E+01,2.6E+04,6.6E+02,0.0E+00,4.0E+02,1.8E+02,1.0E+03,0.0E+00,3.2E+02,8.2E+01,6.0E+03,1.1E+03,1.0E+04,1.1E+03,6.2E+03,0.0E+00,0.0E+00,9.1E+01,1.0E+02,9.6E+03,9.9E+03,1.1E+04,AcCa(13:0)+H,(13:0),AcCa,C20 H40 O4 N1,1.287,358.2951855,9.522433629,1.368290289
1.53_372.3102m/z,372.3102,1.53,66223.79869,Accucore_C18_pos,1.2E+05,2.6E+05,8.5E+04,1.4E+05,2.3E+05,1.1E+05,8.2E+04,2.1E+05,6.5E+04,6.2E+04,1.9E+05,2.1E+04,1.1E+05,1.5E+05,1.1E+04,9.3E+04,1.6E+05,5.6E+03,2.4E+04,1.6E+04,2.7E+04,2.2E+04,3.5E+04,1.6E+04,3.1E+04,4.2E+04,6.8E+04,3.1E+04,1.1E+05,2.7E+04,3.3E+04,4.1E+04,8.2E+04,8.3E+04,6.8E+04,6.9E+04,7.4E+04,AcCa(14:0)+H,(14:0),AcCa,C21 H42 O4 N1,1.518911354,372.3108355,26.66666667,0.993887548
1.26_370.2945m/z,370.2945,1.26,26475.39202,Accucore_C18_pos,3.4E+04,9.8E+04,5.1E+04,4.3E+04,1.0E+05,6.0E+04,2.0E+04,8.6E+04,2.9E+04,1.9E+04,5.6E+04,1.4E+04,3.1E+04,6.5E+04,7.6E+03,3.5E+04,7.3E+04,4.4E+03,8.9E+03,6.5E+03,1.0E+04,1.4E+04,1.9E+04,9.9E+03,4.0E+03,2.5E+04,3.7E+04,2.5E+04,4.6E+04,2.6E+04,1.0E+04,1.1E+04,2.7E+04,2.7E+04,3.4E+04,3.7E+04,4.3E+04,AcCa(14:1)+H,(14:1),AcCa,C21 H40 O4 N1,1.243047136,370.2951855,16.0931951,1.011679734
1.86_386.3257m/z,386.3257,1.86,19136.67468,Accucore_C18_pos,1.8E+04,9.7E+05,2.4E+05,2.1E+04,9.2E+05,3.5E+05,5.3E+03,8.3E+05,2.0E+05,9.3E+02,1.8E+05,1.8E+04,6.1E+03,2.8E+05,2.0E+04,4.3E+03,2.5E+05,7.6E+03,5.1E+02,1.9E+04,1.2E+02,3.6E+04,0.0E+00,1.9E+04,6.0E+02,5.7E+04,1.0E+04,6.9E+04,2.5E+04,5.1E+04,1.1E+02,0.0E+00,3.1E+03,2.8E+03,9.8E+04,1.0E+05,1.1E+05,AcCa(15:0)+H,(15:0),AcCa,C22 H44 O4 N1,1.854739497,386.3264855,22.88369959,0.923780818
2.34_400.3414m/z,400.3414,2.34,234327.2624,Accucore_C18_pos,4.2E+05,2.5E+06,5.3E+05,5.5E+05,2.1E+06,7.9E+05,2.6E+05,2.0E+06,5.3E+05,2.0E+05,1.2E+06,1.2E+05,3.2E+05,1.0E+06,8.2E+04,2.7E+05,9.9E+05,3.5E+04,3.9E+04,1.8E+05,4.7E+04,2.3E+05,7.7E+04,1.8E+05,6.6E+04,1.9E+05,1.5E+05,1.3E+05,3.7E+05,1.3E+05,1.0E+05,1.3E+05,2.4E+05,2.5E+05,3.7E+05,3.8E+05,3.8E+05,AcCa(16:0)+H,(16:0),AcCa,C23 H46 O4 N1,2.335521303,400.3421355,23.33333333,0.883985567
1.64_398.3258m/z,398.3258,1.64,172031.6131,Accucore_C18_pos,3.1E+05,8.3E+05,2.1E+05,3.3E+05,7.9E+05,3.0E+05,1.8E+05,7.2E+05,1.7E+05,1.4E+05,5.5E+05,5.4E+04,2.3E+05,3.7E+05,2.6E+04,1.7E+05,4.3E+05,1.6E+04,3.7E+04,6.2E+04,4.3E+04,9.6E+04,6.1E+04,6.5E+04,4.2E+04,1.5E+05,1.7E+05,1.5E+05,2.8E+05,1.8E+05,7.5E+04,9.2E+04,1.7E+05,1.8E+05,1.9E+05,1.9E+05,2.0E+05,AcCa(16:1)+H,(16:1),AcCa,C23 H44 O4 N1,1.624934183,398.3264855,20,1.00866914
3.00_414.3570m/z,414.3570,3.00,5465.49385,Accucore_C18_pos,4.7E+03,4.9E+05,1.8E+05,6.2E+03,4.1E+05,2.7E+05,1.1E+03,3.7E+05,1.7E+05,0.0E+00,7.9E+04,1.2E+04,4.0E+02,1.3E+05,1.5E+04,7.5E+02,1.1E+05,1.8E+03,0.0E+00,3.5E+03,0.0E+00,8.4E+03,0.0E+00,6.7E+03,0.0E+00,1.5E+04,3.9E+02,2.0E+04,4.1E+03,1.7E+04,0.0E+00,0.0E+00,2.8E+02,0.0E+00,4.7E+04,4.8E+04,4.9E+04,AcCa(17:0)+H,(17:0),AcCa,C24 H48 O4 N1,3.028227352,414.3577855,11.62587068,0.340700152
2.60_414.3570m/z,414.3570,2.60,2247.307679,Accucore_C18_pos,6.4E+03,2.6E+05,2.4E+05,4.5E+03,2.3E+05,2.9E+05,1.0E+03,1.4E+05,1.2E+05,0.0E+00,2.6E+03,5.1E+02,1.4E+03,2.7E+04,1.1E+04,7.4E+02,1.1E+04,4.8E+02,0.0E+00,1.3E+02,0.0E+00,2.3E+03,0.0E+00,1.2E+02,3.0E+02,2.1E+03,7.9E+03,2.2E+04,1.2E+04,8.2E+03,0.0E+00,0.0E+00,1.5E+02,1.0E+02,3.1E+04,3.1E+04,2.9E+04,AcCa(17:0)+H,(17:0),AcCa,C24 H48 O4 N1,2.608424631,414.3577855,8.557631535,0.87258665
1.98_412.3413m/z,412.3413,1.98,8566.345681,Accucore_C18_pos,1.5E+04,5.2E+05,1.4E+05,1.5E+04,4.4E+05,2.1E+05,5.1E+03,4.0E+05,1.2E+05,6.1E+02,1.0E+05,9.9E+03,3.9E+03,1.3E+05,6.3E+03,2.8E+03,1.4E+05,1.6E+03,1.2E+02,5.0E+03,1.2E+02,1.4E+04,0.0E+00,7.3E+03,0.0E+00,2.8E+04,5.7E+03,5.5E+04,1.0E+04,5.1E+04,0.0E+00,0.0E+00,1.3E+03,9.6E+02,4.9E+04,5.3E+04,5.3E+04,AcCa(17:1)+H,(17:1),AcCa,C24 H46 O4 N1,1.963218022,412.3421355,11.40965121,0.97052326
3.95_428.3726m/z,428.3726,3.95,54531.4818,Accucore_C18_pos,8.2E+04,2.0E+05,8.3E+04,1.2E+05,1.8E+05,1.4E+05,6.0E+04,1.6E+05,9.2E+04,4.9E+04,8.0E+04,2.0E+04,8.4E+04,7.9E+04,1.3E+04,9.0E+04,6.6E+04,7.3E+02,3.1E+03,9.3E+03,5.3E+03,1.3E+04,1.4E+04,1.2E+04,1.0E+04,1.3E+04,2.3E+04,1.7E+04,6.9E+04,7.8E+03,2.7E+04,3.1E+04,8.2E+04,9.0E+04,4.5E+04,4.8E+04,4.8E+04,AcCa(18:0)+H,(18:0),AcCa,C25 H50 O4 N1,3.951430416,428.3734355,12.29829543,0.914958669
