Rej	ID	LipidMolec	LipidMolecGroup	ClassKey	SubClassKey	FAKey	FAGroupKey	CalcMass	BaseRt	MolFormula	MainIon	IonCnt	IsoCnt	PDBCnt	TotalSmpIDRate(%)	TotalGrade	OrgMeanArea[s1]	OrgMeanHeight[s1]	OrgMaxArea[s1]	OrgMaxHeight[s1]	OrgMedArea[s1]	OrgMedHeight[s1]	OrgAreaStd[s1]	OrgHeightStd[s1]	OrgAreaRsd(%)[s1]	OrgHeightRsd(%)[s1]	MeanArea[s1]	MeanHeight[s1]	MaxArea[s1]	MaxHeight[s1]	MedArea[s1]	MedHeight[s1]	MedSumArea[s1]	AreaStd[s1]	HeightStd[s1]	AreaRsd(%)[s1]	HeightRsd(%)[s1]	MeanConc[s1]	MaxConc[s1]	MedConc[s1]
false	1	CL(P-32:6)	CL(P-32:6)	CL	monoalkenyl-monoacyl	(P-32:6)	(P-32:6)	848.4241	0.8242	C41 H70 O14 P2	M-2H	1	1	0	100.00	C	7.2756E3	1.2173E5	2.0697E4	3.0780E5	6.3636E3	1.0541E5	5.5493E3	8.5179E4	76.2724	69.9724	7.2756E3	1.2173E5	2.0697E4	3.0780E5	6.3636E3	1.0541E5	1.0541E5	5.5493E3	8.5179E4	76.27	69.97	NaN	NaN	NaN
false	10	LPE(18:0)	LPE(18:0)	LPE	monoacyl	(18:0)	(18:0)	481.3168	3.5862	C23 H48 N1 O7 P1	M-H	1	1	2	100.00	C	1.3541E4	1.1989E5	5.8338E4	5.2800E5	7.2222E3	6.2828E4	1.5946E4	1.3869E5	117.7569	115.6778	1.3541E4	1.1989E5	5.8338E4	5.2800E5	7.2222E3	6.2828E4	6.2828E4	1.5946E4	1.3869E5	117.76	115.68	NaN	NaN	NaN
false	100	LPE(20:3)	LPE(20:3)	LPE	monoacyl	(20:3)	(20:3)	503.3012	2.2923	C25 H46 N1 O7 P1	M-H	1	1	6	100.00	A	1.5421E5	1.5363E6	6.3302E5	6.6438E6	7.7384E4	7.6771E5	1.7795E5	1.7848E6	115.3966	116.1721	1.5421E5	1.5363E6	6.3302E5	6.6438E6	7.7384E4	7.6771E5	7.6771E5	1.7795E5	1.7848E6	115.40	116.17	NaN	NaN	NaN
false	1000	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	10.1600	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	6.1811E4	8.8781E5	1.1139E5	1.2473E6	6.3975E4	9.8964E5	3.0697E4	3.5739E5	49.6617	40.2549	6.1811E4	8.8781E5	1.1139E5	1.2473E6	6.3975E4	9.8964E5	9.8964E5	3.0697E4	3.5739E5	49.66	40.25	NaN	NaN	NaN
false	1001	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	10.2346	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	1.0019E5	7.0292E5	1.5758E5	1.0553E6	1.0970E5	7.8730E5	4.3003E4	2.9372E5	42.9205	41.7856	1.0019E5	7.0292E5	1.5758E5	1.0553E6	1.0970E5	7.8730E5	7.8730E5	4.3003E4	2.9372E5	42.92	41.79	NaN	NaN	NaN
false	1003	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	10.5096	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	6.4987E4	5.5317E5	1.2188E5	9.2225E5	7.0040E4	5.8714E5	3.4317E4	2.5926E5	52.8056	46.8680	6.4987E4	5.5317E5	1.2188E5	9.2225E5	7.0040E4	5.8714E5	5.8714E5	3.4317E4	2.5926E5	52.81	46.87	NaN	NaN	NaN
false	1006	PC(35:3CHO)	PC(35:3CHO)	PC	aldehyde	(35:3CHO)	(35:3CHO)	783.5414	13.4789	C43 H78 N1 O9 P1	M-CH3	1	1	0	100.00	C	1.6123E5	8.8525E5	3.5432E5	1.8359E6	1.5297E5	8.8628E5	9.4018E4	4.7810E5	58.3118	54.0072	1.6123E5	8.8525E5	3.5432E5	1.8359E6	1.5297E5	8.8628E5	8.8628E5	9.4018E4	4.7810E5	58.31	54.01	NaN	NaN	NaN
false	1008	Cer(d34:0)	Cer(d34:0)	Cer	acylsphinganines	(d34:0)	(d34:0)	539.5277	13.1889	C34 H69 N1 O3	M+HCOO	1	1	1	100.00	C	7.0823E3	7.2863E4	2.0283E4	1.9033E5	6.7449E3	6.4181E4	6.7751E3	5.5897E4	95.6628	76.7154	7.0823E3	7.2863E4	2.0283E4	1.9033E5	6.7449E3	6.4181E4	6.4181E4	6.7751E3	5.5897E4	95.66	76.72	NaN	NaN	NaN
false	1009	Cer(d36:0)	Cer(d36:0)	Cer	acylsphinganines	(d36:0)	(d36:0)	567.5590	15.5450	C36 H73 N1 O3	M+HCOO	1	1	2	100.00	C	6.2961E3	5.7287E4	1.8917E4	1.4962E5	4.7640E3	4.4913E4	5.2134E3	3.8228E4	82.8026	66.7302	6.2961E3	5.7287E4	1.8917E4	1.4962E5	4.7640E3	4.4913E4	4.4913E4	5.2134E3	3.8228E4	82.80	66.73	NaN	NaN	NaN
false	101	LPE(20:2)	LPE(20:2)	LPE	monoacyl	(20:2)	(20:2)	505.3168	2.8358	C25 H48 N1 O7 P1	M-H	1	1	2	100.00	A	1.1893E4	7.9343E4	3.7271E4	2.3422E5	8.0742E3	5.8477E4	9.1612E3	5.9288E4	77.0293	74.7237	1.1893E4	7.9343E4	3.7271E4	2.3422E5	8.0742E3	5.8477E4	5.8477E4	9.1612E3	5.9288E4	77.03	74.72	NaN	NaN	NaN
