Rej	ID	LipidMolec	LipidMolecGroup	ClassKey	SubClassKey	FAKey	FAGroupKey	CalcMass	BaseRt	MolFormula	MainIon	IonCnt	IsoCnt	PDBCnt	TotalSmpIDRate(%)	TotalGrade	OrgMeanArea[s1]	OrgMeanHeight[s1]	OrgMaxArea[s1]	OrgMaxHeight[s1]	OrgMedArea[s1]	OrgMedHeight[s1]	OrgAreaStd[s1]	OrgHeightStd[s1]	OrgAreaRsd(%)[s1]	OrgHeightRsd(%)[s1]	MeanArea[s1]	MeanHeight[s1]	MaxArea[s1]	MaxHeight[s1]	MedArea[s1]	MedHeight[s1]	MedSumArea[s1]	AreaStd[s1]	HeightStd[s1]	AreaRsd(%)[s1]	HeightRsd(%)[s1]	MeanConc[s1]	MaxConc[s1]	MedConc[s1]
false	10000	Hex2Cer(d34:2)	Hex2Cer(d34:2)	Hex2Cer	Ceramide disaccharides	(d34:2)	(d34:2)	859.6021	9.4460	C46 H85 N1 O13	M+Na	1	1	0	100.00	C	1.1536E4	1.2989E5	3.7539E4	3.5668E5	8.7559E3	8.6323E4	1.1824E4	1.0441E5	102.4911	80.3814	1.1536E4	1.2989E5	3.7539E4	3.5668E5	8.7559E3	8.6323E4	8.6323E4	1.1824E4	1.0441E5	102.49	80.38	NaN	NaN	NaN
false	10001	Hex2Cer(d34:2)	Hex2Cer(d34:2)	Hex2Cer	Ceramide disaccharides	(d34:2)	(d34:2)	859.6021	11.4072	C46 H85 N1 O13	M+H	1	1	0	100.00	C	3.5516E4	4.4694E5	1.3078E5	2.1716E6	2.8437E4	1.7517E5	3.2106E4	5.3627E5	90.3990	119.9868	3.5516E4	4.4694E5	1.3078E5	2.1716E6	2.8437E4	1.7517E5	1.7517E5	3.2106E4	5.3627E5	90.40	119.99	NaN	NaN	NaN
false	10002	Hex2Cer(d34:2)	Hex2Cer(d34:2)	Hex2Cer	Ceramide disaccharides	(d34:2)	(d34:2)	859.6021	12.5843	C46 H85 N1 O13	M+H	1	1	0	100.00	C	3.7444E4	4.9905E5	1.3981E5	1.9633E6	1.2966E4	2.4170E5	4.0732E4	5.4589E5	108.7802	109.3877	3.7444E4	4.9905E5	1.3981E5	1.9633E6	1.2966E4	2.4170E5	2.4170E5	4.0732E4	5.4589E5	108.78	109.39	NaN	NaN	NaN
false	10003	Hex2Cer(d34:2)	Hex2Cer(d34:2)	Hex2Cer	Ceramide disaccharides	(d34:2)	(d34:2)	859.6021	12.8140	C46 H85 N1 O13	M+H	1	1	0	100.00	C	1.7480E5	9.0945E5	6.4584E5	3.1599E6	4.5552E4	2.7056E5	2.0735E5	1.0403E6	118.6215	114.3874	1.7480E5	9.0945E5	6.4584E5	3.1599E6	4.5552E4	2.7056E5	2.7056E5	2.0735E5	1.0403E6	118.62	114.39	NaN	NaN	NaN
false	10004	Hex2Cer(d34:2)	Hex2Cer(d34:2)	Hex2Cer	Ceramide disaccharides	(d34:2)	(d34:2)	859.6021	16.3599	C46 H85 N1 O13	M+NH4	1	1	0	100.00	C	4.5664E4	2.7022E5	1.0186E5	5.9762E5	4.0114E4	2.3631E5	2.6349E4	1.5214E5	57.7014	56.3030	4.5664E4	2.7022E5	1.0186E5	5.9762E5	4.0114E4	2.3631E5	2.3631E5	2.6349E4	1.5214E5	57.70	56.30	NaN	NaN	NaN
false	10005	PI(35:3)	PI(35:3)	PI	diacyl	(35:3)	(35:3)	846.5258	9.2474	C44 H79 O13 P1	M+NH4	3	1	12	100.00	C	1.8348E4	2.0089E5	4.9423E4	4.9610E5	2.1874E4	2.3330E5	1.8113E4	1.7227E5	98.7215	85.7537	1.8348E4	2.0089E5	4.9423E4	4.9610E5	2.1874E4	2.3330E5	2.3330E5	1.8113E4	1.7227E5	98.72	85.75	NaN	NaN	NaN
false	10006	Hex1Cer(d37:6)	Hex1Cer(d37:6)	Hex1Cer	Ceramide monosaccharides	(d37:6)	(d37:6)	731.5336	9.1778	C43 H73 N1 O8	M+Na	1	1	0	100.00	C	2.0780E4	3.4852E5	1.0900E5	1.4539E6	1.1489E4	2.5685E5	2.7384E4	3.6592E5	131.7798	104.9938	2.0780E4	3.4852E5	1.0900E5	1.4539E6	1.1489E4	2.5685E5	2.5685E5	2.7384E4	3.6592E5	131.78	104.99	NaN	NaN	NaN
false	10007	Hex1Cer(d42:4)	Hex1Cer(d42:4)	Hex1Cer	Ceramide monosaccharides	(d42:4)	(d42:4)	805.6432	21.5514	C48 H87 N1 O8	M+NH4	1	1	0	100.00	C	1.7511E4	1.3799E5	6.5728E4	4.5459E5	1.5166E4	1.0925E5	1.4675E4	1.1042E5	83.8063	80.0197	1.7511E4	1.3799E5	6.5728E4	4.5459E5	1.5166E4	1.0925E5	1.0925E5	1.4675E4	1.1042E5	83.81	80.02	NaN	NaN	NaN
false	10008	Hex1Cer(d42:4)	Hex1Cer(d42:4)	Hex1Cer	Ceramide monosaccharides	(d42:4)	(d42:4)	805.6432	21.9136	C48 H87 N1 O8	M+NH4	1	1	0	100.00	C	2.9032E4	1.7863E5	8.5251E4	5.6286E5	2.4342E4	1.4487E5	2.2221E4	1.4305E5	76.5393	80.0816	2.9032E4	1.7863E5	8.5251E4	5.6286E5	2.4342E4	1.4487E5	1.4487E5	2.2221E4	1.4305E5	76.54	80.08	NaN	NaN	NaN
false	10009	TG(45:10)	TG(45:10)	TG	triacyl	(45:10)	(45:10)	744.5329	7.5089	C48 H72 O6	M+NH4	1	1	0	100.00	C	3.3691E3	4.3293E4	8.9516E3	9.3978E4	2.0130E3	3.2254E4	2.5715E3	2.3040E4	76.3257	53.2201	3.3691E3	4.3293E4	8.9516E3	9.3978E4	2.0130E3	3.2254E4	3.2254E4	2.5715E3	2.3040E4	76.33	53.22	NaN	NaN	NaN
