feature,class,structuralcategory,functionalcategory,totallength,totaldb,totaloh,fullname,Astrocytes1,Astrocytes2,Astrocytes3,Microglia1,Microglia2,Microglia3,NeuronsDIV101,NeuronsDIV102,NeuronsDIV103,NeuronsDIV161,NeuronsDIV162,NeuronsDIV163,NeuronsDIV51,NeuronsDIV52,NeuronsDIV53,OligodendrocytesDIV11,OligodendrocytesDIV12,OligodendrocytesDIV13,OligodendrocytesDIV251,OligodendrocytesDIV252,OligodendrocytesDIV253,OligodendrocytesDIV41,OligodendrocytesDIV42,OligodendrocytesDIV43
CE 16:0;0,CE,STE,NA,16,0,0,,NA,5.67952013,9.849300385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.604899883,5.964680195,NA,NA
CE 16:1;0,CE,STE,NA,16,1,0,,NA,NA,11.18080044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89511013,NA,NA
CE 18:1;0,CE,STE,NA,18,1,0,,7.740089893,11.54220009,21.38540077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.752810001,NA,11.81509972,NA,6.655489922
CE 18:2;0,CE,STE,NA,18,2,0,,12.39260006,19.11260033,19.41130066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.673500061,3.657520056,3.785350084,4.980380058,4.713359833,3.758680105,9.643600464,5.728960037,6.65512991
CE 27:2;0_18:1;0,CE,STE,NA,18,1,0,,0.234753996,NA,2.840240002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 32:1;2,Cer,SL,NA,32,1,2,,0.439179987,0.564191997,0.278443992,NA,NA,NA,0.227421999,NA,0.300309002,NA,NA,0.318677992,0.252620012,0.236065999,0.476489007,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 33:1;2,Cer,SL,NA,33,1,2,,1.223639965,1.647269964,0.694733024,NA,NA,0.312373012,0.522346973,0.488081992,0.687646985,0.423233002,0.373681992,0.805164993,0.585054994,0.566603005,0.953831971,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 34:1;2,Cer,SL,NA,34,1,2,,26.58729935,32.80519867,24.45129967,6.483560085,5.986100197,5.956369877,8.650320053,8.470760345,12.48480034,7.741779804,7.008820057,14.71430016,8.940320015,9.08382988,15.4375,NA,NA,NA,NA,NA,NA,2.39677,NA,NA
Cer 34:2;2,Cer,SL,NA,34,2,2,,1.668789983,2.202660084,0.712970018,NA,NA,NA,0.155240998,0.145777002,0.258873999,0.150775999,0.135799006,0.242822006,0.195519999,0.208296001,0.421968997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 35:2;2,Cer,SL,NA,35,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.101476997,0.0859126,0.149753004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 36:1;2,Cer,SL,NA,36,1,2,,17.11420059,21.57099915,10.94309998,0.488546014,0.364529014,0.412826002,15.82260036,15.37559986,18.89749908,29.11639977,26.89870071,39.95489883,8.648880005,8.651610374,17.77960014,0.885047972,1.391710043,1.988479972,1.680420041,2.060280085,1.457290053,3.954090118,1.930750012,3.088779926
Cer 36:2;2,Cer,SL,NA,36,2,2,,3.492660046,4.434309959,1.251139998,NA,NA,NA,1.979239941,1.811050057,2.711430073,2.07159996,1.994070053,4.112160206,1.158079982,1.226510048,2.842509985,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 37:1;2,Cer,SL,NA,37,1,2,,0.409143001,0.582606971,0.214516997,NA,NA,NA,NA,NA,NA,NA,NA,0.225220993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 37:2;2,Cer,SL,NA,37,2,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072478898,0.085744701,0.124330997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 38:1;2,Cer,SL,NA,38,1,2,,2.987090111,3.502340078,1.80795002,0.206517994,0.174730003,0.171333,0.332846999,0.330045015,0.475576997,0.488669991,0.471886992,0.713096023,0.225457996,0.275925994,0.494872004,NA,NA,0.157113999,NA,0.151354998,NA,0.405452996,0.160757005,0.202761993
Cer 38:2;2,Cer,SL,NA,38,2,2,,1.064090014,1.305879951,0.355096012,NA,NA,NA,NA,NA,NA,0.056009602,0.089960203,0.125093997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 39:1;2,Cer,SL,NA,39,1,2,,0.369978011,0.49849999,0.214992002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cer 40:1;2,Cer,SL,NA,40,1,2,,5.277719975,6.457240105,2.67185998,1.604949951,1.426139951,1.308210015,0.249764994,0.238067999,0.373403013,NA,0.259050012,0.532604992,NA,NA,0.436531007,NA,0.31725201,0.497011006,0.337808996,0.502542973,0.289499998,1.241520047,0.442759007,0.683887005
