file,percent_ki67_alone,percent_gfap_alone,percent_both,nuclei_count,ki67,gfap,both,total_nuclei
O1_180420_1.tif,0.19433198380566802,0.2145748987854251,0.03643724696356275,247,48,53,9,247
O1_180420_2.tif,0.11731843575418995,0.2122905027932961,0.0446927374301676,179,21,38,8,179
O1_180420_3.tif,0.04918032786885246,0.20218579234972678,0.0273224043715847,183,9,37,5,183
O1_180420_5.tif,0.08021390374331551,0.18181818181818182,0.016042780748663103,187,15,34,3,187
O1_180420_6.tif,0.03125,0.3046875,0.0234375,128,4,39,3,128
O1_180420_8.tif,0.1261682242990654,0.20093457943925233,0.02336448598130841,214,27,43,5,214
O1_180420_9.tif,0.04,0.38285714285714284,0.005714285714285714,175,7,67,1,175
O1_180622_1.tif,0.11029411764705882,0.2867647058823529,0.014705882352941176,136,15,39,2,136
O1_180622_3.tif,0.1276595744680851,0.1347517730496454,0.02127659574468085,141,18,19,3,141
O1_180622_4.tif,0.19672131147540983,0.19672131147540983,0.03278688524590164,61,12,12,2,61
O1_180622_5.tif,0.12582781456953643,0.07947019867549669,0.006622516556291391,151,19,12,1,151
O1_180622_6.tif,0.07216494845360824,0.09278350515463918,0.010309278350515464,97,7,9,1,97
O1_180622_7.tif,0.037383177570093455,0.14018691588785046,0.009345794392523364,107,4,15,1,107
O1_180622_8.tif,0.04054054054054054,0.3581081081081081,0.08108108108108109,148,6,53,12,148
O1_180622_9.tif,0.058394160583941604,0.16058394160583941,0.0,137,8,22,0,137
O2_180420_1.tif,0.0,0.2857142857142857,0.19047619047619047,42,0,12,8,42
O2_180420_10.tif,0.038461538461538464,0.34615384615384615,0.019230769230769232,52,2,18,1,52
O2_180420_5.tif,0.07947019867549669,0.1986754966887417,0.033112582781456956,151,12,30,5,151
O2_180420_6.tif,0.13953488372093023,0.3023255813953488,0.05813953488372093,172,24,52,10,172
O2_180420_7.tif,0.03910614525139665,0.441340782122905,0.0670391061452514,179,7,79,12,179
O2_180420_8.tif,0.05747126436781609,0.2471264367816092,0.011494252873563218,174,10,43,2,174
O2_180420_9.tif,0.041666666666666664,0.38333333333333336,0.016666666666666666,120,5,46,2,120
O3_180622_1.tif,0.09876543209876543,0.4444444444444444,0.04938271604938271,81,8,36,4,81
O3_180622_10.tif,0.11578947368421053,0.24210526315789474,0.06315789473684211,95,11,23,6,95
O3_180622_2.tif,0.1357142857142857,0.3,0.05,140,19,42,7,140
O3_180622_3.tif,0.13402061855670103,0.30927835051546393,0.05154639175257732,97,13,30,5,97
O3_180622_4.tif,0.125,0.3046875,0.0546875,128,16,39,7,128
O3_180622_5.tif,0.14414414414414414,0.12612612612612611,0.08108108108108109,111,16,14,9,111
O3_180622_6.tif,0.17105263157894737,0.21052631578947367,0.11842105263157894,76,13,16,9,76
O3_180622_7.tif,0.08653846153846154,0.35096153846153844,0.08653846153846154,208,18,73,18,208
O3_180622_8.tif,0.09929078014184398,0.2907801418439716,0.0851063829787234,141,14,41,12,141
O3_180622_9.tif,0.20512820512820512,0.08974358974358974,0.02564102564102564,78,16,7,2,78
O4_180627_1.tif,0.09090909090909091,0.2727272727272727,0.0,66,6,18,0,66
O4_180627_10.tif,0.03225806451612903,0.3467741935483871,0.024193548387096774,124,4,43,3,124
O4_180627_2.tif,0.042735042735042736,0.20512820512820512,0.02564102564102564,117,5,24,3,117
O4_180627_3.tif,0.05555555555555555,0.18055555555555555,0.09722222222222222,144,8,26,14,144
O4_180627_5.tif,0.14482758620689656,0.22758620689655173,0.041379310344827586,145,21,33,6,145
O4_180627_6.tif,0.09302325581395349,0.19186046511627908,0.040697674418604654,172,16,33,7,172
O4_180627_7.tif,0.07575757575757576,0.17424242424242425,0.030303030303030304,132,10,23,4,132
O4_180627_8.tif,0.025,0.25,0.008333333333333333,120,3,30,1,120
O4_180627_9.tif,0.01818181818181818,0.24545454545454545,0.045454545454545456,110,2,27,5,110
O5_180627_1.tif,0.045454545454545456,0.2727272727272727,0.01948051948051948,154,7,42,3,154
O5_180627_10.tif,0.0625,0.39285714285714285,0.026785714285714284,112,7,44,3,112
O5_180627_2.tif,0.0625,0.3333333333333333,0.010416666666666666,96,6,32,1,96
O5_180627_3.tif,0.12179487179487179,0.12179487179487179,0.02564102564102564,156,19,19,4,156
O5_180627_4.tif,0.03409090909090909,0.2556818181818182,0.03409090909090909,176,6,45,6,176
O5_180627_5.tif,0.03550295857988166,0.21301775147928995,0.0,169,6,36,0,169
O5_180627_6.tif,0.0743801652892562,0.14049586776859505,0.0,121,9,17,0,121
