Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,QC_1x,QC_2x,QC_3x,QC_MSMS_pos_top80_1,XZ_100,XZ_101,XZ_102,XZ_103,XZ_104,XZ_83,XZ_84,XZ_85,XZ_86_PBS,XZ_87,XZ_88,XZ_89,XZ_90,XZ_91,XZ_92,XZ_93,XZ_94,XZ_95,XZ_96_PBS,XZ_97,XZ_98,XZ_99,1,1
2956,10.541,376.39548,ST 27:1;O(d7),[M+H-H2O]+,null,0.58,FALSE,11.17,376.3955,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,2956,0,0,1,null,null,null,null,null,1,235.92,XZ_97,376.39548:546372 377.40015:214717 378.40481:0,null,0,128237,116145,817996,448309,392291,0,145138,224305,339300,290838,572715,1680641,409242,308212,530498,407891,486937,712744,136215,404316,197620,1806556,1800651,457700,485898,511553.5934,502065.6209
3157,4.729,381.37045,MG 18:1(d7),[M+NH4]+,null,0.54,FALSE,4.97,381.3704,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,3157,0,0,1,null,null,null,null,null,1,4.89,XZ_102,381.37042:10468 382.37509:0 383.37976:0,null,133587,55372,65133,158457,13317,15901,23952,12944,10310,6698,18754,16070,6511,22134,11799,13844,7947,14211,17526,6634,18461,17958,16630,22279,36181,28326,29651.49462,37074.46355
3158,4.604,381.37509,MG 18:1(d7),[M+NH4]+,null,0.04,FALSE,4.97,381.3704,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,3158,0,0,0.9,null,null,null,null,null,0.9,1.85,QC_2x,381.37509:6908 382.37976:0 383.38443:0,null,4156,13634,20166,34673,2179,838,0,3278,702,7842,4389,784,845,3009,821,665,646,814,0,1600,1329,1393,3033,1304,1488,731,4243.063809,7678.366157
6979,1.143,487.34845,LPE 18:1(d7),[M+H]+,null,0.15,FALSE,2.56,487.35355,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,6979,0,0,0.98,null,null,null,null,null,0.98,3.51,XZ_90,487.35172:106611 488.35638:0 489.36105:0,null,81516,77447,79694,95968,29419,27288,75478,47939,26737,68679,10354,52809,30808,2867,28854,1094,32932,7662,2068,29118,16904,32851,22756,62200,33610,38718,39068.07527,27290.58931
6980,2.66,487.35236,LPE 18:1(d7),[M+H]+,null,0.12,FALSE,2.56,487.35355,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,6980,0,0,1,null,null,null,null,null,1,16.47,XZ_93,487.35287:174674 488.35754:47003 489.36221:0,null,1070972,627957,2742028,2999055,415858,1065020,1415164,615632,1095488,833238,504027,1404332,1208,1057014,399151,582200,1003047,1012249,323144,920905,1259612,1198803,826,624147,987081,827977,961005.2439,678940.5928
6981,2.443,487.35278,LPE 18:1(d7),[M+H]+,null,1,TRUE,2.56,487.35355,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,6981,0,0,0.99,null,null,null,null,null,0.99,886.49,QC_MSMS_pos_top80_1,487.35248:25434688 488.35715:6405773 489.36181:1038423,76.96187:6536 79.23508:6580 81.07009:17900 83.08562:9370 87.44376:6575 89.09879:6574 89.23730:7611 93.35709:6961 95.08575:15391 98.98428:7023 103.91626:5976 109.10139:15929 113.05821:7082 121.10114:11313 135.11661:14733 138.88269:7798 142.02655:20886 149.13228:8069 155.01045:73703 156.01671:8350 173.02126:16814 174.57561:7199 178.95467:8396 198.05276:21202 211.72148:7946 216.06340:45027 225.62785:7262 254.28656:12921 272.29660:48342 300.89920:7628 301.02756:7236 315.33896:141605 346.33353:1705063 352.59845:7761 469.34152:8433,149088441,152380487,151635945,194395483,54759315,57478521,52320080,63294725,54059247,50763048,45113396,60817904,406254,46932598,48576530,44114140,53669936,56971234,47966406,48988701,48440353,53016539,418067,20873380,50659665,58198463,64051494.6,45923448.37
6982,2.254,487.35278,LPE 18:1(d7),[M+H]+,null,0.5,FALSE,2.56,487.35355,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,6982,0,0,1,null,null,null,null,null,1,110.41,QC_3x,487.35278:3475766 488.35745:883015 489.36212:147808,null,16790364,19929296,21351185,18195339,6325123,6268043,3878079,7198818,2707762,5319447,2253981,2594855,12986,5143333,5204663,2866560,5654679,3291858,5475155,3683908,5663048,4261845,14959,4011531,6457183,6990028,6597847.272,5771714.622
6990,1.612,487.36108,LPE 18:1(d7),[M+H]+,null,0.04,FALSE,2.56,487.35355,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,6990,0,0,0.75,null,null,null,null,null,0.75,2.39,XZ_85,487.36108:102555 488.36575:23790 489.37042:0,null,13442,3693,30603,119515,7503,1472,27383,3287,12919,20547,18449,36491,5415,26431,40733,41345,9005,12854,3518,2356,4708,4090,3567,6082,1664,4696,17760.37412,24304.59587
6991,4.669,487.36133,LPE 18:1(d7),[M+H]+,null,0.35,TRUE,2.56,487.35355,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,6991,0,0,0.73,null,null,null,null,null,0.73,7.21,QC_MSMS_pos_top80_1,487.36145:85869 488.36612:19255 489.37079:0,92.24722:5704 94.46110:2942 130.41615:3420 134.13985:3283 140.10344:3489 152.87532:3620 223.34015:3474 288.05246:4241 487.36136:29703,751239,688056,655943,729732,156152,19822,2970,535501,12308,17253,13047,232454,2546,8425,417864,154543,13662,382291,130640,10693,220711,10835,2677,6306,351449,162934,218848.1252,259424.1752
8041,12.681,513.53668,Cer_NS 18:1(d7);2O/15:0,[M+H]+,null,0.04,FALSE,11.98,513.53821,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_02272025_2,FALSE,FALSE,8041,0,0,0.99,null,null,null,null,null,0.99,7.47,QC_3x,513.53668:41310 514.54135:0 515.54602:0,null,11932,6059,39372,103245,2902,8911,6400,3782,5319,4170,7253,7668,2216,3810,5666,2973,5876,0,2144,9342,8661,4790,9988,4947,5420,3111,10613.77976,20206.93327
