Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,QC_1x,QC_2x,QC_3x,QC_MSMS_neg_top80_1,XZ_100,XZ_101,XZ_102,XZ_103,XZ_104,XZ_83,XZ_84,XZ_85,XZ_86_PBS,XZ_87,XZ_88,XZ_89,XZ_90,XZ_91,XZ_92,XZ_93,XZ_94,XZ_95,XZ_96_PBS,XZ_97,XZ_98,XZ_99,1,1
1725,2.256,485.33817,LPE 18:1(d7),[M-H]-,null,0.77,FALSE,2.56,485.3379,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,1725,0,0,1,null,null,null,null,null,1,95034.79,XZ_98,485.33789:1142423 486.34256:256088 487.34723:48881,null,20057043,21501983,21729757,21689590,6884939,6548680,6730131,3792759,6959457,6062903,5660058,7243397,17743,5891296,6011603,5780449,6303451,5935618,5763893,6749709,6224625,6690004,19484,4531306,6433646,7546001,8029212.437,6036904.342
1726,2.452,485.33859,LPE 18:1(d7),[M-H]-,null,1,TRUE,2.56,485.3379,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,1726,0,0,1,null,null,null,null,null,1,1096236,QC_MSMS_neg_top80_1,485.33832:23808186 486.34299:5378088 487.34765:888219,81.53548:3288 85.66419:3253 92.20557:3329 95.03980:3715 98.33894:3344 108.41857:4230 127.73187:4213 175.27031:3747 214.04892:4431 242.25677:4238 248.65398:3809 288.29279:204330 303.22009:4210 380.82849:4215 469.88913:4545,123519567,129712838,131221070,146264830,44102768,44880516,42691323,51257080,43663895,41577240,36499617,51155554,397731,38814949,40148762,38162805,43294317,47771452,38962970,39465535,39491146,42865588,349360,27859589,40923482,46892230,52767162.08,36958769.29
1727,2.695,485.33878,LPE 18:1(d7),[M-H]-,null,0.04,FALSE,2.56,485.3379,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,1727,0,0,1,null,null,null,null,null,1,30.76,XZ_83,485.33878:116424 486.34344:21214 487.34811:0,null,1553593,1641385,1713185,913413,427202,540925,459608,722841,465015,559824,81721,697070,0,571355,464007,719200,433578,429087,651471,508403,393680,706325,0,359764,549617,572003,620548.9193,430006.9855
2870,11.32,575.539,Cer_NS 18:1(d7);2O/15:0,[M+HCOO]-,null,1,TRUE,11.98,575.5386,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,2870,0,0,1,null,null,null,null,null,1,5548319,QC_MSMS_neg_top80_1,575.53967:36746516 576.54434:13295210 577.54901:2652104,81.07037:7364 85.58358:6979 105.82222:7593 119.63563:8134 139.93332:7220 152.17682:8648 192.81277:8699 196.73264:8026 223.20728:51535 240.23405:53595 240.24510:7880 241.21783:33196 244.26654:57294 266.24902:203413 270.28128:59374 273.29288:9342 275.30884:11310 280.29425:8502 282.24402:44179 283.19913:8773 292.11026:8646 300.59021:9186 481.51315:20041 497.50748:49895 499.52380:61753 529.53442:439945,239302724,243750071,244408855,255482861,71998264,66008511,67222534,77581600,69715226,66217556,66649749,75914451,52051333,63403176,70888450,69700859,65632251,73012207,69990007,70551787,72492242,65505221,56583870,61340674,76084629,75861396,95667327.11,65555846.49
4418,11.45,709.55377,PE 15:0_18:1(d7),[M-H]-,null,1,TRUE,12.21,709.5519,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,4418,0,0,0.99,null,null,null,null,null,0.99,390953.6,QC_MSMS_neg_top80_1,709.55371:15406964 710.55838:6463180 711.56305:1395174,77.94495:5193 78.95907:5099 79.25115:4656 82.72928:4511 91.61017:4183 95.23112:5207 105.92931:4790 115.53873:4237 116.99698:4225 129.22989:5380 140.01205:20511 162.63393:5520 196.03877:7380 225.54361:5046 241.21785:219715 288.29257:483164 438.26358:18698 568.69025:5156 593.17328:6375 641.23315:5312 649.22491:5046 662.37329:5598 709.55084:16586,95654263,97640275,99390554,101701803,45568766,47464210,44047792,49832714,44290170,42175175,38168366,50491601,434633,40544600,41792965,42260211,44951459,48474542,42223961,40902462,42534200,42191275,338768,33066313,44314501,47431883,48764902.32,24880023.83
4419,11.747,709.55383,PE 15:0_18:1(d7),[M-H]-,null,0.04,FALSE,12.21,709.5519,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,4419,0,0,0.99,null,null,null,null,null,0.99,5.66,XZ_90,709.55383:69885 710.55850:0 711.56317:0,null,86759,121930,170655,486459,121931,87059,54179,113267,169499,64197,40260,117545,0,52987,21052,31310,122462,47235,162144,61996,22257,53497,0,73420,85436,42186,92681.58958,93966.50548
4951,12.728,740.53363,PG 15:0_18:1(d7),[M-H]-,null,0.04,FALSE,10.15,740.5464,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,4951,0,0,0.69,null,null,null,null,null,0.69,7.12,XZ_83,740.53363:25158 741.53830:0 742.54297:754016,null,109276,46967,119037,298562,3013,19215,7923,13464,7178,78344,46487,5854,0,35370,9505,4107,23792,3535,3471,35259,3876,46412,0,0,0,6933,35676.13049,62858.48205
4952,10.105,740.5437,PG 15:0_18:1(d7),[M-H]-,null,0.54,FALSE,10.15,740.5464,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,4952,0,0,1,null,null,null,null,null,1,44.15,XZ_99,740.54596:116174 741.55063:0 742.55529:0,null,1558572,1568943,1552352,693092,318400,431695,509101,293593,1002931,971478,528427,152535,162516,1020045,376446,350614,671710,221678,374537,947627,368529,1263727,556717,410156,265629,296436,648749.4456,445553.9641
4953,9.797,740.54852,PG 15:0_18:1(d7),[M-H]-,null,1,TRUE,10.15,740.5464,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,4953,0,0,0.99,null,null,null,null,null,0.99,1629.48,QC_MSMS_neg_top80_1,740.54846:26789064 741.55313:10999605 742.55780:2736742,78.55978:5273 78.95896:10978 79.16183:4087 97.58572:4416 152.99615:61010 153.19795:4786 159.91176:6605 171.00681:16317 171.82149:5574 175.36681:5642 175.75955:5250 213.73328:4754 224.07018:5485 227.03230:7000 238.21140:5338 241.21773:299893 244.70192:6225 251.20268:14972 275.44559:6038 277.21722:11499 279.23331:7882 281.24905:18534 285.23624:6284 285.62582:4664 287.28503:6335 288.29242:609829 319.68274:5047 377.21057:12642 398.66785:4905 451.24960:12366 469.25833:15135 469.91995:5701 494.69812:5260 624.83722:6327 639.58795:5424 740.54797:89791,137587245,141508167,140693202,152497899,55106646,57032407,49908257,52998157,56981444,54275099,48861606,55974756,50049069,53707888,51480811,55345454,53298292,53714439,59404566,54535898,57566079,51036697,57850965,67622303,56595560,59325555,68652248.48,32654865.3
4954,10.806,740.55951,PG 15:0_18:1(d7),[M-H]-,null,0.23,FALSE,10.15,740.5464,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_02272025_2,FALSE,FALSE,4954,0,0,0.91,null,null,null,null,null,0.91,8.73,XZ_102,740.55286:30537 741.55752:28274 742.56219:0,null,49818,59760,82056,115471,8559,82395,67132,6082,80627,54845,29462,7483,0,32179,17385,14209,32521,15552,10051,45407,0,91548,0,7672,0,7471,35295.69257,34097.42638
