Polarity,Alignment.ID,Peak.color.code,Average.Rt.min.,Average.Mz,Metabolite.name,Metabolite,Adduct.type,Post.curation.result,Fill..,MS.MS.assigned,Reference.RT,Reference.m.z,Formula,Ontology,INCHIKEY,SMILES,Annotation.tag..VS1.0.,RT.matched,m.z.matched,MS.MS.matched,Comment,Manually.modified.for.quantification,Manually.modified.for.annotation,Isotope.tracking.parent.ID,Isotope.tracking.weight.number,RT.similarity,m.z.similarity,Simple.dot.product,Weighted.dot.product,Reverse.dot.product,Matched.peaks.count,Matched.peaks.percentage,Total.score,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,QC_1x,QC_2x,QC_3x,QC_MSMS,XZ_100,XZ_101,XZ_102,XZ_103,XZ_104,XZ_83,XZ_84,XZ_85,XZ_86_PBS,XZ_87,XZ_88,XZ_89,XZ_90,XZ_91,XZ_92,XZ_93,XZ_94,XZ_95,XZ_96_PBS,XZ_97,XZ_98,XZ_99,X1,X1.1,ppm
Pos,16827,orange,11.331,718.5755,PC O-32:1|PC O-16:0_16:1,PC O-16:0_16:1,[M+H]+,null,0.58,TRUE,9.876,718.57452,C40H80NO7P,EtherPC,JSCQQTZMIJRPQQ-UHFFFAOYSA-N,O=C(OC(COCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCC=CCCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,16827,0,0,1,0.73,0.85,0.47,4,1,1.68,2992.31,QC_MSMS_pos_top80_1,718.57574:48951548 719.58041:21952216 720.58508:3970289,75.05405:18670 86.09667:763059 90.11530:21003 92.24821:42273 95.69593:25591 96.51710:21354 98.98430:60461 101.91922:19136 104.10725:242033 107.39013:21370 108.22277:23671 111.82075:22792 125.00001:379800 133.49597:21009 134.83156:26915 153.57948:20805 169.96269:20923 180.25790:26232 184.07352:20816484 185.07706:41972 275.83875:22527 334.45688:23685 377.65039:26752 401.66986:25649 466.36246:22266 494.22147:25253 526.27026:22079 556.36200:22732 572.72980:26586 577.51166:24774 696.32294:24105,477786367,476954188,405673228,1325922747,174046818,21680175,31640287,231195748,29636710,12921809,24180216,100473277,29675,37728724,97387000,68045214,29205162,176435479,80909893,25566123,100197604,15839425,36597,7161128,124964383,161348469,162960247.9,275070982.3,1.36381123
Pos,19620,orange,15.505,774.63757,PC O-36:1|PC O-18:0_18:1,PC O-18:0_18:1,[M+H]+,null,0.73,TRUE,12.267,774.63708,C44H88NO7P,EtherPC,NNHLCCQIVVAXQH-UHFFFAOYSA-N,O=C(OC(COCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCCCCCCCCCC=CCCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,19620,0,0,1,0.56,0.43,0.45,4,1,1.55,40.98,QC_MSMS_pos_top80_1,774.63782:882307 775.64249:438663 776.64715:101153,86.09641:16976 89.91181:4471 92.49793:4810 94.01808:4127 94.88579:4360 111.09193:16803 124.93758:9891 124.99991:15989 167.97997:23576 184.07356:627347 185.07664:5681 220.75928:5310 342.30902:6537 347.70099:5455 377.33377:5570 731.49762:10784 774.53864:131836,2637891,6866259,2642574,15495689,770223,549919,1440447,2719149,2412775,945808,2844716,1570792,3447,2388367,1666423,2058048,2136531,703435,415695,1159762,1822410,2323616,0,327701,769095,876794,2213367.954,3039421.527,0.63255428
Pos,15998,orange,11.757,700.52802,PE P-34:2|PE P-18:1_16:1a,PE P-18:1_16:1,[M+H]+,null,0.27,TRUE,10.013,700.52759,C39H74NO7P,EtherPE,LALFTIIBOJSVNP-UHFFFAOYSA-N,O=C(OC(COC=CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCC=CCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,15998,0,0,1,0.39,0.6,0.81,5,2,2.35,811.42,QC_MSMS_pos_top80_1,700.52802:7866425 701.53268:2082974 702.53735:1824637,78.24252:4063 79.05444:14435 81.07009:70505 83.08578:68936 85.06505:4914 85.10140:6155 92.24364:6887 93.07003:28433 95.08565:77787 97.06486:20023 97.10139:55521 105.06994:7220 107.08571:31121 109.10139:50521 111.08060:45860 111.11696:25769 118.10038:4562 119.08567:7999 121.10136:87527 123.11708:38055 125.09615:7083 125.13273:7912 133.10106:7687 135.11682:69874 137.13235:32967 147.11708:8854 149.13268:30457 151.14850:7991 155.01030:13565 161.13255:7960 163.14854:9681 171.66853:4616 176.66603:5527 189.80708:5580 195.86287:5306 210.05836:4550 219.21097:70103 226.16765:5452 237.22144:60624 280.26346:20147 292.29993:68607 305.28421:9469 310.31097:11737 311.25818:699325 311.89606:5167 313.27298:12256 337.27472:13106 339.29028:26453 362.24588:8993 390.27701:156756 403.46619:5935 425.67874:6303 446.30194:6677 471.50909:5220 559.50897:12005,39847393,39335714,39272150,77403487,5560515,21175558,22401101,13635954,16967934,17074566,5549808,7551043,3576,10048263,5905998,1069110,18432079,6891584,1217593,7091010,2462447,18297691,4469,3793492,3682882,5529762,15007891.53,17461149.52,0.613823076
Pos,17220,orange,11.84,726.54462,PE P-36:3|PE P-18:1_18:2,PE P-18:1_18:2,[M+H]+,null,0.58,TRUE,10.026,726.54321,C41H76NO7P,EtherPE,ULUBTSXVFBWWEF-UHFFFAOYSA-N,O=C(OC(COC=CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCC=CCC=CCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17220,0,0,1,0.35,0.56,0.88,5,2,2.35,320.7,QC_MSMS_pos_top80_1,726.54407:5952002 727.54874:1359865 728.55340:0,75.04440:5049 79.05436:20640 81.03359:6243 81.07016:60434 83.08562:34135 85.10143:73227 91.05438:18713 93.07006:23101 95.08562:67851 95.63219:5171 97.06484:11116 97.10138:28097 99.11682:8890 104.67200:4846 105.07011:7078 107.08559:24119 109.10139:37939 111.08043:5234 111.11694:7951 111.46074:4644 113.09602:4784 119.08557:16564 121.10155:26484 121.10525:4760 123.11700:21477 125.09640:6034 125.69196:5776 131.08553:6048 133.10101:14600 135.11676:14428 137.13257:11547 139.11191:9569 145.10150:7774 147.11702:15465 149.13248:9765 151.14787:8470 161.13257:9304 163.14833:13763 165.16394:5775 175.14844:6346 177.16347:6514 203.17976:11006 239.94777:4755 245.22659:11357 262.15549:6300 263.23743:7873 290.28455:7147 292.29962:35164 296.78748:4794 305.28439:7880 306.27933:7778 330.27930:10859 337.27386:391663 339.28973:101161 345.86343:5429 351.48248:5698 358.87946:5355 384.87869:6013 388.26187:9866 390.27707:84655 462.76776:5810 467.58231:4939 543.94354:5924 585.52661:47739,26079199,30283318,14674624,58389452,14472186,1877746,4666841,25729918,4697885,6050527,2127919,23385724,9089,1837691,12794733,13287393,5184526,19508578,22597704,1865657,10302965,9365118,1786,284889,25407003,8281090,13198598.49,13225345.2,1.940696686
Pos,17530,orange,15.986,732.59052,PE O-36:1|PE O-18:0_18:1,PE O-18:0_18:1,[M+H]+,null,0.5,TRUE,12.021,732.59021,C41H82NO7P,EtherPE,FQOARSFWUAVMSG-UHFFFAOYSA-N,O=C(OC(COCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCCCCCCCCCCCC=CCCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,17530,0,0,1,0.14,0.24,0.75,1,1,1.54,30.19,QC_MSMS_pos_top80_1,732.59082:902764 733.59549:442154 734.60016:112143,75.98715:4243 83.08552:5901 83.68986:4875 84.21353:4005 85.10133:37860 86.42503:4345 87.37514:4410 88.50372:4859 114.27264:4950 118.97931:4476 162.37608:4650 167.30406:4572 167.31149:4997 175.64290:4663 182.95108:5061 184.07343:72994 199.94597:5642 216.12109:5244 274.20618:5476 297.54843:5006 301.78754:6231 313.38718:4576 331.91653:5141 353.57669:4984 402.88129:4916 445.25278:5222 578.22510:6849 591.57214:40947 664.91064:6368 686.41553:5510,3743485,4636974,3366962,17100965,454327,1497748,1565041,2300421,1776458,1258457,882601,1546069,0,1271272,1482490,962111,265085,1904505,732178,1715827,1453069,1805837,0,161226,608206,1197487,2064953.923,3259748.472,0.423156078
Pos,8525,orange,1.672,520.3407,LPC 18:2,LPC 18:2,[M+H]+,null,0.85,TRUE,5.779,520.33978,C26H50NO7P,LPC,SPJFYYJXNPEZDW-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCC=CCC=CCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,8525,0,0,1,0.5,0.51,0.8,3,2,2.34,20.97,QC_MSMS_pos_top80_1,520.34039:668090 521.34506:199414 522.34973:39288,79.91648:3572 86.09676:11924 89.06013:5431 98.40530:3792 102.12798:5364 103.12583:3665 104.10722:99769 105.23990:4183 109.16107:3680 118.50078:4260 125.00021:4605 125.68130:4200 133.08638:6448 145.09044:4132 176.68202:3809 181.15717:3503 184.07359:244908 207.12888:3790 210.18552:16473 227.21202:5355 276.39026:4421 371.02347:3831 392.47595:4466 472.63580:5005 502.33008:12774 513.42804:4726 520.34198:14833,1876899,1925304,5786577,10471417,386625,216473,919582,1471085,1497530,509796,197232,768447,56270,528570,1173232,1190023,353419,1166306,773502,618064,283953,1383685,61184,98651,743097,1667461,1389399.289,2166963.972,1.768075468
Pos,8875,orange,2.326,530.32495,LPC 19:4,LPC 19:4,[M+H]+,null,0.54,TRUE,5.83,530.3241,C27H48NO7P,LPC,OKCPWMGNKUUCGA-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCC=CCC=CCC=CCC=CCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,8875,0,0,1,0.25,0.35,0.37,3,2,2.07,127.6,QC_MSMS_pos_top80_1,530.32465:1198032 531.32931:367440 532.33398:0,86.09661:690490 87.10011:146048 92.24469:26373 98.98409:39662 102.25075:18157 104.10725:7245569 105.10436:84845 105.11053:1618745 106.29650:19721 111.55215:18152 111.58584:17662 119.08588:17012 123.11713:16954 124.99994:250231 126.00337:29683 130.76830:17263 131.11891:19165 133.43816:18796 162.64845:21049 163.01552:37314 167.78317:18002 181.02647:31248 184.07350:10168873 185.07692:2251495 186.07834:20833 212.76994:19481 247.20966:18372 258.11017:199149 259.11386:101871 273.30057:20564 289.32016:21905 308.27972:20754 346.33331:97854 347.33737:323057 389.30502:71075 453.31995:102063 512.39301:973979 514.92529:19732 530.40350:1698249,5814465,8752021,5604551,14462650,1164492,2358908,2884957,894259,2821583,471907,1414713,356808,11070,3347405,575323,443156,514556,0,537617,2236109,571713,1727488,0,346948,797746,109969,2239246.63,3276203.275,1.602793461
Pos,9565,orange,2.33,548.37103,LPC 20:2a,LPC 20:2,[M+H]+,null,0.65,TRUE,6.401,548.37109,C28H54NO7P,LPC,YYQVCMMXPIJVHY-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCCCCCC=CCC=CCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,9565,0,0,1,0.32,0.35,0.36,3,2,2.08,35.55,QC_MSMS_pos_top80_1,548.37177:424916 549.37643:0 550.38110:604091,81.16568:3386 82.89259:4111 88.78975:3681 92.24779:8675 96.73373:3795 98.63493:3499 110.01149:3646 111.98775:3598 126.28384:3565 136.05000:4153 168.74091:3691 184.07356:108003 246.90619:4133 326.29831:4105 358.97021:4536 372.82324:4061 413.62640:4666 482.86914:4299 487.21915:26250 548.27393:10630,556150,664570,653552,1882754,165367,53352,519851,324963,140012,135301,206766,182607,0,131670,67797,52131,141103,181831,90385,137310,95971,198794,1520,23868,115344,73277,261394.0635,381524.1911,0.109414958
Pos,10449,orange,1.605,570.35651,LPC 22:5,LPC 22:5,[M+H]+,null,0.35,TRUE,6.091,570.35541,C30H52NO7P,LPC,BIEOSECQPGGZMF-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)([O-])OCC[N+](C)(C)C)CCCCCC=CCC=CCC=CCC=CCC=CCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,10449,0,0,0.99,0.28,0.35,0.35,3,2,2.07,19.81,QC_MSMS_pos_top80_1,570.35657:172948 571.36124:52559 572.36590:0,82.21592:4299 86.09659:7073 88.11179:4051 89.06007:5684 92.24783:5911 104.10735:10294 110.33594:4182 133.08580:7705 133.95149:4122 142.43745:3831 154.75578:4655 162.79306:4397 165.56766:4291 184.07355:87527 220.18465:4916 266.33752:4004 374.10312:4155 492.58618:5219 509.20496:17120 570.25659:6149,731979,881992,1221366,2521555,322789,199335,80712,423767,100185,68528,71318,324760,693,142936,215671,278438,52084,326466,329621,216929,409580,85777,1089,13691,389898,170293,368517.3903,523597.2599,1.928622015
Neg,1976,orange,2.852,504.31052,LPE 20:2b,LPE 20:2,[M-H]-,null,0.58,TRUE,6.541,504.3096,C25H48NO7P,LPE,QJHRNPQXCMXOOH-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)(O)OCCN)CCCCCCCCCC=CCC=CCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,1976,0,0,0.99,0.37,0.65,0.84,5,2,2.36,7287.64,QC_MSMS_neg_top80_1,504.31064:216056 505.31531:56180 506.31997:0,83.69044:4135 83.85358:4408 86.24758:3569 87.00112:3060 93.20599:3773 95.63817:3930 106.89254:4350 115.33768:4001 123.08905:4099 235.95721:3451 250.35519:3810 307.26495:37369 501.14172:3829 504.31232:5782,927408,1344854,1408238,1566183,200761,131133,187845,287215,133182,157250,175421,184609,0,300266,96865,83854,47772,42993,72314,387829,228274,126809,0,21332,209118,70682,322777.1751,449990.2169,1.824276199
