Compound,m.z,Retention.time..min.,Mode,Intensity,O4_0220,O2_0220,Y2_1219,O1+O5_1219,O3_0220,Y1_1219,Y3_0220,O2+O3_1219,Y5_0220,O1_0220,Y2_0220,O5_0220,Y4_0220,Y4_1219,O4_1219,Y1_0220,QC1,QC2,QC3,LipidIon,FattyAcid,Class,IonFormula,RT_LS,mz_LS,mscore,tscore
1.04_344.2803m/z,344.2803,1.04,Accucore_C18_pos,7.9E+04,9.3E+04,9.0E+04,1.9E+04,9.3E+03,1.6E+05,1.2E+04,8.4E+04,1.9E+04,7.4E+04,6.4E+04,1.2E+05,1.1E+05,9.2E+04,1.5E+04,1.3E+04,1.1E+05,4.5E+04,4.0E+04,4.3E+04,AcCa(12:0)+H,(12:0),AcCa,C19 H38 O4 N1,1.031461456,344.2795355,21.30717492,0.06798996
1.43_372.3116m/z,372.3116,1.43,Accucore_C18_pos,2.3E+05,2.2E+05,4.3E+05,1.3E+05,1.1E+05,4.7E+05,1.5E+05,1.7E+05,1.2E+05,2.5E+05,3.7E+05,3.7E+05,2.5E+05,4.2E+05,2.2E+05,9.5E+04,3.9E+05,1.5E+05,1.5E+05,1.8E+05,AcCa(14:0)+H,(14:0),AcCa,C21 H42 O4 N1,1.43346893,372.3108355,26.112365,0.18928575
1.10_372.3117m/z,372.3117,1.10,Accucore_C18_pos,1.5E+05,1.5E+05,2.9E+05,1.2E+05,1.1E+05,3.0E+05,1.2E+05,1.3E+05,8.9E+04,1.5E+05,2.5E+05,2.1E+05,1.4E+05,2.3E+05,1.3E+05,5.9E+04,2.2E+05,1.3E+05,1.1E+05,1.0E+05,AcCa(14:0)+H,(14:0),AcCa,C21 H42 O4 N1,1.102300364,372.3108355,22.46270323,0.119712916
1.72_386.3275m/z,386.3275,1.72,Accucore_C18_pos,5.6E+05,3.7E+05,1.1E+06,3.8E+05,3.4E+05,1.3E+06,4.7E+05,4.1E+05,3.5E+05,5.5E+05,5.8E+05,9.8E+05,6.0E+05,9.9E+05,6.2E+05,1.8E+05,7.3E+05,3.6E+05,3.6E+05,3.7E+05,AcCa(15:0)+H,(15:0),AcCa,C22 H44 O4 N1,1.708820281,386.3264855,27.2733433,0.14506068
2.14_400.3432m/z,400.3432,2.14,Accucore_C18_pos,2.3E+06,2.0E+06,4.3E+06,1.5E+06,1.4E+06,5.1E+06,1.7E+06,2.2E+06,1.4E+06,2.4E+06,2.4E+06,3.4E+06,2.6E+06,3.6E+06,2.2E+06,9.0E+05,2.6E+06,1.5E+06,1.5E+06,1.4E+06,AcCa(16:0)+H,(16:0),AcCa,C23 H46 O4 N1,2.143744342,400.3421355,20,0.53836437
1.51_398.3275m/z,398.3275,1.51,Accucore_C18_pos,1.4E+06,1.3E+06,3.4E+06,9.6E+05,6.8E+05,3.5E+06,8.7E+05,1.3E+06,7.9E+05,1.3E+06,1.9E+06,2.9E+06,1.9E+06,2.6E+06,1.4E+06,4.7E+05,2.3E+06,1.1E+06,1.0E+06,1.0E+06,AcCa(16:1)+H,(16:1),AcCa,C23 H44 O4 N1,1.522838801,398.3264855,20,0.161778741
2.77_414.3594m/z,414.3594,2.77,Accucore_C18_pos,3.0E+05,2.0E+05,6.7E+05,2.3E+05,1.7E+05,6.8E+05,3.0E+05,1.6E+05,1.7E+05,2.9E+05,4.1E+05,6.2E+05,2.4E+05,5.0E+05,3.4E+05,9.4E+04,5.1E+05,2.9E+05,2.8E+05,2.8E+05,AcCa(17:0)+H,(17:0),AcCa,C24 H48 O4 N1,2.758127881,414.3577855,18.18015913,0.857281634
1.81_412.3432m/z,412.3432,1.81,Accucore_C18_pos,4.0E+05,3.0E+05,9.0E+05,2.9E+05,2.5E+05,9.6E+05,3.6E+05,3.2E+05,2.9E+05,3.8E+05,4.1E+05,7.3E+05,4.9E+05,7.0E+05,4.7E+05,1.3E+05,5.8E+05,2.8E+05,2.8E+05,2.9E+05,AcCa(17:1)+H,(17:1),AcCa,C24 H46 O4 N1,1.807343847,412.3421355,17.82430822,0.241934573
3.64_428.3753m/z,428.3753,3.64,Accucore_C18_pos,1.8E+05,1.5E+05,4.5E+05,1.4E+05,9.1E+04,5.5E+05,1.6E+05,1.1E+05,8.1E+04,2.1E+05,3.1E+05,3.9E+05,1.2E+05,3.0E+05,1.9E+05,5.7E+04,3.6E+05,2.0E+05,2.0E+05,2.0E+05,AcCa(18:0)+H,(18:0),AcCa,C25 H50 O4 N1,3.612209373,428.3734355,11.59592673,1.566433347
2.27_426.3590m/z,426.3590,2.27,Accucore_C18_pos,3.0E+06,2.8E+06,6.5E+06,1.6E+06,1.5E+06,6.1E+06,1.9E+06,2.8E+06,1.4E+06,3.2E+06,3.7E+06,5.0E+06,3.4E+06,4.7E+06,2.3E+06,9.8E+05,4.2E+06,2.0E+06,2.0E+06,2.0E+06,AcCa(18:1)+H,(18:1),AcCa,C25 H48 O4 N1,2.24610531,426.3577855,17.59668601,0.586857368
