Polarity,Alignment.ID,Poor_peak_shape,Average.Rt.min.,Average.Mz,Metabolite.name,Metabolite,Adduct.type,Post.curation.result,Fill..,MS.MS.assigned,Reference.RT,Reference.m.z,Formula,Ontology,INCHIKEY,SMILES,Annotation.tag..VS1.0.,RT.matched,m.z.matched,MS.MS.matched,Comment,Manually.modified.for.quantification,Manually.modified.for.annotation,Isotope.tracking.parent.ID,Isotope.tracking.weight.number,RT.similarity,m.z.similarity,Simple.dot.product,Weighted.dot.product,Reverse.dot.product,Matched.peaks.count,Matched.peaks.percentage,Total.score,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,X1,X11,X12,X13,X14,X15,X16,X17,X19,X2,X4,X5,X6,X7,X8,X9,QC1,QC2,QC3,X1.1,X1.2,ppm
Pos,20845,Yes,21.349,820.74164,TG 48:2|TG 16:0_16:1_16:1,TG 16:0_16:1_16:1,[M+NH4]+,null,0.79,TRUE,14.102,820.73889,C51H94O6,TG,RUOVJPPUXXFZPC-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCC)COC(=O)CCCCCCCCCCCCCCC)CCCCCCCC=CCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,20845,0,0,0.99,0.25,0.46,0.8,4,2,2.27,98.97,QC1,820.74164:526140 821.74631:286233 822.75097:114550,83.08556:5029 83.34181:4536 92.19315:36799 122.99040:4788 134.16203:4768 234.02011:4836 257.26712:5664 521.45874:6684 547.47229:8652 549.48828:22137 824.17395:5404,1090560,882300,1131175,1944021,461783,1756428,1491258,826652,861553,1671160,860268,1667058,518953,2389916,533510,1030806,6640442,8360531,7610235,2196242.587,2448104.734,3.350639325
Pos,20746,Yes,20.776,818.72534,TG 48:3|TG 16:1_16:1_16:1,TG 16:1_16:1_16:1,[M+NH4]+,null,0.37,TRUE,13.806,818.72321,C51H92O6,TG,SKGWNZXOCSYJQL-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCC)COC(=O)CCCCCCCC=CCCCCCC)CCCCCCCC=CCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,20746,0,0,0.99,0.05,0.12,0.72,3,2,2.13,13.26,QC2,818.72534:73658 819.73001:34758 820.73468:0,75.33791:4533 78.25454:4838 78.33279:4981 92.19356:11876 103.92931:4675 118.21175:5702 122.80050:4566 127.84013:4578 141.93539:5192 146.64432:5685 158.80675:4853 164.79445:4689 412.29321:5271 547.46942:5592 665.99561:6261 723.70441:6422,120715,124644,108576,153405,82628,247765,65970,74506,80439,350150,157472,128136,148340,215164,53061,213830,888902,959995,695774,256287.9783,276739.9519,2.601611844
Pos,21727,Yes,22.729,838.78821,TG 49:0|TG 16:0_16:0_17:0,TG 16:0_16:0_17:0,[M+NH4]+,null,1,TRUE,14.841,838.78583,C52H100O6,TG,TTWJTJMWHOYBPQ-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,21727,0,0,0.99,0.33,0.65,0.83,4,2,2.35,77.42,QC1,838.78821:527798 839.79288:299937 840.79754:105947,81.07037:7775 83.08524:5919 92.19641:46037 95.08540:10135 155.58203:4711 159.66637:5023 190.22911:5340 196.46730:5484 238.89999:5082 253.09145:6073 295.88931:4665 551.50293:21795 565.51917:37185,1275102,1813569,947368,884011,1075690,1475387,1558178,554506,1793214,1088949,1314231,1437223,1691878,1509895,420136,762742,7331771,3637430,3268137,1781021.972,1566235.202,2.837434676
Pos,22187,Yes,22.015,848.77142,TG 50:2|TG 16:0_16:1_18:1,TG 16:0_16:1_18:1,[M+NH4]+,null,1,TRUE,14.446,848.7702,C53H98O6,TG,TWJCMQZMAPGUSG-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCC)COC(=O)CCCCCCCCCCCCCCC)CCCCCCCC=CCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,22187,0,0,0.99,0.43,0.71,0.9,5,2,2.41,62403.48,QC1,848.77191:1783976 849.77658:895749 850.78125:0,81.06976:9411 83.08565:10848 92.19509:53750 95.08552:19587 123.11716:6755 130.51163:4985 135.11691:6985 169.28000:4762 233.00906:6085 239.23714:5629 271.90237:5932 549.49048:46779 575.50348:37307 577.52130:38943 736.69788:6009 752.92627:6126,4134049,3907577,4818011,2500365,1770823,4057389,2096262,3450823,6408853,7245157,4134185,4506926,4628435,2461010,3078825,3972608,17722176,22606753,15239120,6249439.331,5757853.819,1.437373744
Pos,22089,Yes,21.31,846.7569,TG 50:3|TG 16:1_16:1_18:1,TG 16:1_16:1_18:1,[M+NH4]+,null,1,TRUE,14.128,846.75452,C53H96O6,TG,UFHNZOACKFBCOM-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)CCCCCCCC=CCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,22089,0,0,0.99,0.18,0.42,0.84,4,2,2.27,14390.76,QC1,846.75720:424465 847.76187:196674 848.76654:77040,92.19518:43203 134.29759:4375 138.20297:4524 165.72107:5325 221.99031:5114 352.17270:5613 475.79538:5801 547.46771:9295 575.50848:7915,693190,443435,707634,1270490,312936,1778065,628684,332586,1180458,1047526,754886,458659,273253,789861,232116,322575,3385919,2924570,5157568,1194442.678,1295198.952,2.81073197
Pos,23261,Yes,21.954,874.78735,TG 52:3|TG 16:0_18:1_18:2,TG 16:0_18:1_18:2,[M+NH4]+,null,1,TRUE,14.49,874.78583,C55H100O6,TG,KGLAHZTWGPHKFF-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)CCCCCCCC=CCC=CCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,23261,0,0,1,0.31,0.58,0.89,5,2,2.36,36470.86,QC1,874.78613:1335412 875.79080:764103 876.79547:177805,75.33405:5339 81.06994:21607 83.08579:7149 92.19053:14278 92.19686:76491 95.08541:12909 109.10131:11960 111.08067:5207 121.10195:6869 123.11749:6177 136.11235:5236 138.62662:5266 151.65388:5150 254.85561:5894 330.52853:7172 339.29263:10998 352.99509:5808 575.50641:48827 577.51843:32301 601.51678:30879 601.96582:6007 805.70959:6544 854.26898:6542,4088578,5813191,2252372,4403861,1123384,4369077,2442682,2903707,6366740,14782015,5190172,3952554,3619674,7813294,4965901,2167663,17916389,12590205,10283282,6160249.55,4589054.904,1.737568154
Pos,23262,Yes,21.821,874.78766,TG 52:3|TG 16:1_18:1_18:1,TG 16:1_18:1_18:1,[M+NH4]+,null,0.42,TRUE,14.39,874.78583,C55H100O6,TG,YBWITEZBUYUNFC-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCCCC)CCCCCCCC=CCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,23262,0,0,0.99,0.24,0.51,0.79,4,2,2.28,76698.2,QC3,874.78821:757170 875.79288:450093 876.79754:139143,75.29456:4955 81.21314:4709 83.08604:4297 92.19355:33696 111.96326:5392 115.08257:5032 120.58274:7254 138.54608:5273 151.40471:4790 151.83325:4836 214.14778:5578 237.16859:4977 315.43933:5474 541.47174:7250 575.50433:29219 603.53394:9968,812154,2023634,2503155,2035978,180973,3655436,883789,2903707,2889810,1321966,1033408,890699,275202,2022623,564777,428107,1643985,4248767,4339818,1824104.603,1307479.171,2.091940607
Pos,14652,Yes,12.215,690.54614,PE O-33:1|PE O-18:1_15:0,PE O-18:1_15:0,[M+H]+,null,0.53,TRUE,10.627,690.54321,C38H76NO7P,EtherPE,ZOQYCCABYXTPHK-UHFFFAOYSA-N,O=C(OC(COCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCCCCCCC=CCCCCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,14652,0,0,1,0.19,0.39,0.75,1,1,1.59,87.34,QC3,690.54425:1446772 691.54892:706366 692.55359:0,81.06987:6522 83.08554:33999 85.10142:17122 92.19680:34028 95.08566:4597 97.10117:25237 109.10103:6790 111.11687:10838 121.10126:5420 138.09045:4468 155.93736:5235 175.51065:4050 185.12335:3895 231.83182:3962 352.64694:4716 415.39810:5352 549.52362:41019,1534902,695313,1772687,3507009,1857078,1752724,2014978,618823,6871912,3825109,2563444,1423269,2945210,2260306,1008251,484814,16312088,24279160,15284823,4790100.12,6531814.19,4.243036435
Pos,16485,Yes,15.611,732.59241,PE O-36:1|PE O-18:1_18:0,PE O-18:1_18:0,[M+H]+,null,0.63,TRUE,12.021,732.59021,C41H82NO7P,EtherPE,FQOARSFWUAVMSG-UHFFFAOYSA-N,O=C(OC(COCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCCCCCCCCCCCC=CCCCCCCCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,16485,0,0,0.91,0.12,0.27,0.75,1,1,1.5,62.51,QC1,732.59650:1159938 733.60116:619140 734.60583:0,75.72490:4653 75.83022:3960 76.46702:4195 83.08549:4635 85.10145:46093 86.09627:6295 92.19653:36177 101.30800:5755 109.83425:4630 114.12399:4483 126.14634:4823 131.70181:4802 143.07564:4621 184.07368:128551 229.32697:4739 591.56915:36236,6415810,2070287,14405925,5430040,1658674,1540372,1821924,455705,5983717,3202406,1673138,1281376,4556687,1869211,2088601,544197,20038684,18625074,3946768,5137294.48,5930655.624,3.003043134
Pos,18892,Yes,14.769,782.60834,PE O-40:4|PE O-18:0_22:4,PE O-18:0_22:4,[M+H]+,null,0.84,TRUE,11.579,782.60577,C45H84NO7P,EtherPE,QVVDEAMHNLHCLN-UHFFFAOYSA-N,O=C(OC(COCCCCCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCCCCCCCCC=CCC=CCC=CCC=CCC,420,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,18892,0,0,0.77,0.04,0.08,0.75,1,1,1.37,40.83,QC3,782.61719:909351 783.62186:453278 784.62652:0,81.07004:7885 82.23853:4320 85.10130:24590 86.09647:9913 92.19115:10529 92.19743:27959 95.08550:5514 108.32193:4851 146.98198:42617 184.07362:39966 203.55827:4788 298.61612:5627 393.33536:5684 599.49811:28118 641.58417:9264 645.34448:5711 768.15015:5381,1426170,1906862,2917161,1315535,1530112,2181641,834131,1448147,4959038,3754908,1114811,1558306,2052454,2071701,530381,1121318,1456609,12011769,6022217,2642803.728,2668515.008,3.283901165
