Polarity,Peak_shape,Alignment.ID,Average.Rt.min.,Average.Mz,Metabolite.name,Metabolite,Adduct.type,Post.curation.result,Fill..,MS.MS.assigned,Reference.RT,Reference.m.z,Formula,Ontology,INCHIKEY,SMILES,Annotation.tag..VS1.0.,RT.matched,m.z.matched,MS.MS.matched,Comment,Manually.modified.for.quantification,Manually.modified.for.annotation,Isotope.tracking.parent.ID,Isotope.tracking.weight.number,RT.similarity,m.z.similarity,Simple.dot.product,Weighted.dot.product,Reverse.dot.product,Matched.peaks.count,Matched.peaks.percentage,Total.score,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,QC.low_MSMS_pos2,XY.pos_1,XY.pos_10,XY.pos_11,XY.pos_12,XY.pos_13,XY.pos_14,XY.pos_15,XY.pos_16,XY.pos_17,XY.pos_19,XY.pos_2,XY.pos_3,XY.pos_4,XY.pos_5,XY.pos_6,XY.pos_7,XY.pos_8,XY.pos_9,X1,X1.1,ppm
Neg,Yes,9717,2.239,478.2944,LPE 18:1,LPE 18:1,[M-H]-,null,1,TRUE,6.366,478.29391,C23H46NO7P,LPE,PYVRVRFVLRNJLY-UHFFFAOYSA-N,O=C(OCC(O)COP(=O)(O)OCCN)CCCCCCCC=CCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,9717,0,0,1,0.83,0.94,0.94,5,2,2.57,911.16,QC-low_MSMS_neg1,478.29327:4189091 479.29794:951144 480.30261:1829742,78.95570:12837 82.26888:3604 82.29268:3111 82.31628:3891 82.37908:3984 82.42146:4091 82.48514:4243 82.62011:3068 82.86062:3129 90.08785:3577 94.42818:3247 94.48117:3102 94.60999:3852 94.69549:3398 94.77676:3289 109.50610:4402 109.59677:2927 109.74072:3523 109.83957:3940 109.97386:4635 114.20273:2982 128.53757:4001 128.58400:3820 128.62132:4280 128.79034:3270 129.04517:4281 140.01176:20801 152.61774:2580 152.99776:4243 153.04779:3849 153.10712:3127 153.26743:5059 153.49020:3093 153.59679:2739 153.60895:3933 169.71313:3233 180.52750:3794 184.84503:3135 185.01160:3760 185.09140:4334 185.23424:3420 185.90196:3354 185.97661:3069 196.03784:129922 214.04836:29961 228.44962:5523 228.55977:5519 228.64738:3836 229.27078:4268 229.36742:4524 229.46545:3804 281.24854:1266713 289.07092:4252 289.19897:4776 289.35193:5971 290.20706:5886 377.41693:4254 377.83524:7056 378.25900:3825 379.11243:6292 379.32358:4291 379.36530:4159 392.25696:5408 392.30829:3512 478.29318:160849,70313702,6446701,8835349,3352362,4593001,92476422,56071622,64383686,65370602,39207922,63819920,6719033,5077091,6781373,3657321,4416849,4920268,8194526,6785838,2.79E+07,29820003.72,1.024474679
Pos,Yes,29557,22.238,876.8017,TG 52:2|TG 16:0_18:1_18:1,TG 16:0_18:1_18:1,[M+NH4]+,null,1,TRUE,14.813,876.80151,C55H102O6,TG,JFISYPWOVQNHLS-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC)CCCCCCCC=CCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,29557,0,0,1,0.09,0.16,0.83,4,2,2.2,7431.45,QC-low_MSMS_pos2,876.80048:7291819 877.80514:4356114 878.80981:1591744,78.51527:3497 81.06976:12120 82.20709:4212 83.08553:7664 88.11215:6095 94.36975:3459 94.69775:3310 95.08548:13859 97.10112:7849 97.52402:4137 102.12753:16494 109.10121:11672 109.27718:4025 109.86631:3397 109.98496:4130 114.45029:3666 121.10170:4067 123.11696:4835 128.42200:4805 128.43088:5042 128.53430:4173 128.55667:3991 128.58243:4434 128.89810:3690 128.99622:3990 131.80756:3944 133.50577:3656 135.11685:5139 149.13191:4058 152.62439:3527 152.94724:3070 153.25618:3660 166.60040:3488 174.22806:4084 185.11307:5207 185.71107:3892 213.13251:4129 228.43970:5720 265.25470:4653 282.27817:9055 289.16656:7208 289.22690:5682 290.03137:5353 290.06277:5596 290.20074:5774 290.46994:4303 310.31155:15270 311.31561:7865 314.10327:5015 368.70178:4555 377.42007:5794 377.68637:4778 377.81894:5634 378.05219:5251 379.07800:5211 385.31808:5863 385.36478:6079 513.85907:5090 514.51001:6109 515.90424:6123 515.97595:5755 516.23041:6154 517.87842:4951 577.52063:32373 589.51459:8506 592.58136:15992 603.53345:18637 620.61707:10923 699.71533:5188 739.64423:10511 740.25879:7347 741.35126:5412 742.46729:6829 742.61627:7245 743.16937:8451,74407380,16943899,14521623,14979107,22031773,1767917967,1380563407,1448799600,1200225567,413528360,1442294223,14516082,17559826,20342384,16016381,14135883,12439916,18799336,17411259,4.17E+08,646513042.7,0.216696707
Pos,Yes,13094,2.976,508.37607,LPC O-18:1,LPC O-18:1,[M+H]+,null,0.68,TRUE,6.725,508.37619,C26H54NO6P,EtherLPC,LGYDTKYITBAFRQ-UHFFFAOYSA-N,O=P([O-])(OCC[N+](C)(C)C)OCC(OCCCCCCCCC=CCCCCCCCC)CO,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,13094,0,0,1,0.59,0.63,0.87,5,2,2.42,131.56,QC-low_MSMS_pos2,508.37607:8655943 509.38074:2481930 510.38540:0,79.58795:2970 82.32345:3587 82.47453:3618 82.47893:3357 86.09636:43702 87.09978:10846 88.10305:4161 88.11210:3406 94.39098:3446 94.44226:2947 95.08551:3467 97.28231:5019 104.10691:172186 108.36689:2671 109.45560:3329 109.51957:3432 109.56419:3342 109.85672:2634 111.11695:4078 124.99987:9531 128.43744:4275 128.47813:2888 128.51900:4406 128.73314:3502 152.87392:4046 152.91397:2831 152.92734:3435 152.96774:3066 152.97957:3974 153.20581:3414 153.31108:3409 153.48097:4182 163.01498:6843 164.01898:3241 184.07344:29332 228.36118:4692 288.91379:3699 289.08420:3505 289.22070:4181 289.94333:3027 367.32190:19028 377.68533:5544 377.89035:3653 378.09360:3866 378.75745:4370 378.97327:4111 379.38840:3319 389.44781:4689 409.59021:3175 448.28839:6162 449.29233:24908 508.36774:218742,111399372,10887217,19836630,15044361,9642312,438931,121905,225452,104665,70810,495671,8722779,13911674,7301498,13613725,16461423,8032069,21577257,8897528,1.40E+07,24590144.44,0.236045673
Neg,Yes,18237,11.716,788.54614,PS 36:1|PS 18:0_18:1,PS 18:0_18:1,[M-H]-,null,1,TRUE,9.017,788.54468,C42H80NO10P,PS,AJFWREUFUPEYII-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,18237,0,0,1,0.43,0.58,0.68,8,2,2.29,37039.69,QC-low_MSMS_neg1,788.54510:756141 789.54977:376382 790.55444:98020,78.95579:17725 82.29729:3925 94.40160:3837 94.43636:3959 94.44586:4251 109.92346:3310 110.31458:3796 128.37146:3842 128.51517:3472 128.60107:5794 129.03452:4064 152.80415:3504 152.89534:3621 152.99593:40060 153.00671:5753 153.34785:3140 153.56636:3436 153.58253:3390 154.18039:3185 155.42773:3297 171.89433:4123 185.05946:3758 228.50841:5038 228.90697:4904 229.69272:4469 260.54428:3752 279.23483:5289 281.24869:37539 283.26419:110144 289.13007:5176 289.27292:5335 290.17346:4134 362.49402:4622 375.29965:5067 377.55289:4940 377.76364:5846 379.04236:6255 388.66830:9327 417.24158:13399 419.25684:74736 435.25317:4849 437.26749:32347 514.00323:5760 514.69464:5632 516.13690:4395 521.77271:5948 701.51093:40522 741.13098:4602 741.75909:4946 743.44373:6846,7104522,2922573,1694874,1422857,1618061,1231558108,446506046,464504558,947062752,430919551,490420347,5604006,1706878,1638780,1217440,1288251,2415483,1234302,7633294,202817512.3,357810198.9,1.851512079
Neg,Yes,19409,9.688,834.52948,PS 40:6|PS 18:0_22:6,PS 18:0_22:6,[M-H]-,null,0.5,TRUE,8.499,834.52911,C46H78NO10P,PS,LYYHRRPTEXPVOR-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(N)C(=O)O)CCCCCCCCCCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,19409,0,0,0.97,0.07,0.15,0.53,8,2,2.04,11755.24,QC-low_MSMS_neg1,834.53333:142879 835.53799:258778 836.54266:0,78.95567:50276 82.31146:4094 82.48042:3698 94.44859:3722 94.68704:3293 94.78635:3643 94.79893:4271 96.96017:35921 96.96954:140080 99.07980:3508 109.52849:4895 109.83268:3437 109.89783:4613 123.73637:3539 128.55122:4001 128.60309:4605 149.24237:3992 149.91052:3509 152.93108:6430 152.99527:12555 153.02907:5468 153.52458:3334 153.81180:3776 177.21483:3708 185.07503:5207 185.14380:6322 185.16068:4250 185.20717:4227 185.24060:4968 185.51411:4041 185.74501:4822 185.89497:4038 228.44215:4960 228.53558:6116 228.62303:7971 229.13945:4817 229.33665:4596 229.44165:4394 283.26450:35550 287.28726:5681 287.96622:5108 289.18225:6259 289.34418:5597 289.60159:4955 290.17657:6380 290.32300:7370 310.23087:4707 327.23474:7745 377.80109:8925 379.09143:9283 379.31210:5450 389.30585:5926 419.25919:19193 514.00470:4834 514.09613:9996 514.40253:5111 514.79303:5974 516.06067:4722 516.14252:9305 552.56299:4373 722.61603:31013 740.02863:6435 743.43146:5315 743.55835:6461 747.49481:9563,902037,247904,21592,21998,126512,162477074,30577660,32253373,66408938,937314791,38199736,284309,165474,88470,65454,56281,216254,58634,635718,63541534.91,209266123.1,0.443363803
Neg,Yes,19988,8.627,857.51953,PI 36:4|PI 16:0_20:4,PI 16:0_20:4,[M-H]-,null,1,TRUE,8.174,857.51862,C45H79O13P,PI,VWRYMIZQLPXULA-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)CCCCCCCCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,19988,0,0,1,0.24,0.43,0.79,9,2,2.27,26561.74,QC-low_MSMS_neg1,857.51886:319631 858.52353:151398 859.52820:42899,82.17738:4051 82.38951:3866 82.49963:4965 94.52562:4028 94.60719:4472 109.53359:4390 109.56799:5957 109.88087:3445 125.41677:3656 127.34812:3819 128.77950:4541 128.82185:4256 128.90895:3652 128.96205:3929 128.98186:5179 137.04247:3785 151.77461:4239 152.48422:4001 152.99654:9128 153.10126:6412 154.11504:4020 185.06105:4180 185.19464:3934 185.21158:4140 185.79976:4516 185.89995:4273 212.69411:3886 228.45674:7371 228.62236:5558 229.13167:4772 229.64053:4631 241.01224:16045 255.23395:23167 282.15405:4294 289.29736:6961 290.30511:6119 303.23273:30007 377.74814:5050 377.80673:6853 379.07321:4712 387.08347:7853 387.12933:6934 391.22690:15158 391.82697:4932 514.07471:6256 516.07294:6138 516.15063:7079 553.28040:13239 739.93298:8669 740.54407:7715 741.15833:6801 743.40808:6005 743.53210:10783 857.51947:51495,1703848,327349,196195,509820,975303,601969032,213470178,200303148,449472719,185440520,200013659,454422,480524,852644,663321,700362,694906,747017,434684,93069489.87,170332471.4,1.061201447
Neg,Yes,20642,9.907,885.55084,PI 38:4|PI 18:0_20:4,PI 18:0_20:4,[M-H]-,null,1,TRUE,8.474,885.54993,C47H83O13P,PI,OJESNYFIPWSOPO-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)CCCCCCCCCCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,20642,0,0,1,0.55,0.72,0.91,9,2,2.45,105860.1,QC-low_MSMS_neg1,885.54962:1729569 886.55429:839401 887.55896:312890,78.95565:11134 82.31085:4075 82.47862:4088 82.56473:4476 86.47540:3714 94.44695:4815 94.47467:4207 94.48367:3604 109.57552:3958 109.65068:4621 109.75124:4297 110.26826:4109 112.98582:10844 128.62538:5566 128.63551:4524 128.67606:4050 129.08913:5326 152.99588:18470 153.05206:4552 153.63339:4925 185.04622:4175 185.12132:4723 185.19797:6160 185.25462:3733 185.27203:6207 223.00153:11569 229.31097:5374 241.01213:65601 283.26468:72722 289.39951:5581 290.40207:6341 297.03833:8026 303.23270:79210 374.36392:4443 377.86038:6327 377.90741:5211 379.15710:5165 379.20505:5213 379.35156:4853 386.54883:6577 419.25662:36549 419.30350:4192 437.26965:5452 470.38986:4762 514.00970:5060 514.22394:6535 514.49213:5211 581.30670:34734 599.32281:8271 601.27814:6698 621.53027:4508 695.23431:5761 701.94537:4763 741.25732:6911 743.59839:7034 885.55035:214723,11386785,2614637,2118990,4377550,4672189,1715885980,575683871,552166034,1284684265,558322109,565355828,3297816,2682204,4776685,3299706,4577026,3704137,3554453,3660298,265876186.9,483895077.4,1.027610041
Neg,Yes,20605,8.619,883.53485,PI 38:5|PI 18:1_20:4,PI 18:1_20:4b,[M-H]-,null,0.95,TRUE,8.217,883.53418,C47H81O13P,PI,XGZVRASBCZTHNO-UHFFFAOYSA-N,O=C(OCC(OC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O)CCCCCCCC=CCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,20605,0,0,1,0.12,0.23,0.75,9,2,2.18,15550.49,QC-low_MSMS_neg1,883.53351:192239 884.53818:71802 885.54284:0,82.24293:3794 94.41915:3764 94.71469:4568 94.80198:4299 97.29166:10559 103.95628:3823 106.60284:3441 109.49316:4475 109.52069:4735 109.52959:4664 109.55829:3856 109.97818:3791 128.48239:4248 128.52965:3797 128.96539:5542 152.97098:4241 152.98547:4778 153.03558:5436 153.55786:4128 153.61147:3895 185.00554:5519 185.05402:3674 185.07072:5525 185.13057:4500 185.15189:4605 185.44684:4715 185.59140:4224 185.89005:4139 228.34941:5705 228.52954:5346 228.55025:5038 229.34390:5933 229.38222:4669 241.01167:13998 281.24722:5246 289.30444:5421 290.16562:4731 290.30658:5366 290.33832:4834 303.23337:16104 377.61008:6222 377.80023:8258 379.08597:6574 383.95667:4735 389.75043:9087 417.23965:5529 514.10608:8244 516.15491:9968 516.49316:6882 562.95801:4613 738.33984:6697 739.95099:5678 740.06396:7077 741.23090:7095 742.90753:8112 743.48425:8647 744.63837:5662 765.62683:5776 883.53912:26054,900721,258469,154764,216642,407650,548990756,206791089,206411669,411823816,69802698,201856507,266862,210502,301346,229837,332386,298848,267988,325602,82542467.18,156560746.6,0.758318145
Neg,Yes,15549,12.381,700.53009,PE O-34:2|PE O-16:1_18:1,PE O-16:1_18:1,[M-H]-,null,0.7,TRUE,10.24,700.52869,C39H76NO7P,EtherPE,RFPQMVKZNQOUGY-UHFFFAOYSA-N,O=C(OC(COCCCCCCCCC=CCCCCCC)COP(=O)(O)OCCN)CCCCCCCC=CCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,15549,0,0,1,0.24,0.27,0.81,3,2,2.24,37608.84,QC-low_MSMS_neg1,700.52966:272543 701.53433:117221 702.53900:17721,82.29391:3926 82.31515:3016 82.33681:4251 82.42378:3664 82.50547:3252 82.51146:5325 82.53084:3525 94.42487:3486 94.45734:3640 94.69582:3176 94.71867:6425 94.82602:4836 94.83117:3489 97.29140:6554 109.57084:4673 109.60417:5313 109.76964:3973 109.87224:4400 110.00677:4184 122.15774:3083 128.52895:4460 128.57053:4720 128.61206:4353 128.83275:3716 128.95270:4866 129.12445:3338 140.01274:3302 146.63528:2991 152.80008:3213 152.98766:4437 153.04152:5278 153.09586:6018 153.14940:3662 153.64606:4874 185.14066:5027 185.21332:4449 185.28407:3761 185.50652:3536 185.64954:4520 185.80304:4312 185.88136:4120 185.96088:4912 191.85938:3452 228.72635:5458 229.43707:5363 229.63284:4481 229.72224:4510 253.21788:4805 255.23312:16582 256.36420:4714 281.24814:113158 289.13889:5313 289.28137:7273 289.42142:6574 289.82645:4608 290.43243:5786 290.71371:5907 377.75153:4442 377.83496:4031 377.91779:6490 377.96466:7548 378.38348:5952 379.23914:6779 379.47156:4623 379.66162:3913 418.27203:5975 436.28403:9683 513.60132:4398 513.93787:5405 514.27173:10068 514.60535:4929 516.29968:8962 516.67267:6976 700.52460:9913,2096164,1397057,420855,96524,341435,764716970,610186484,620879578,573826238,372838035,686534104,1320187,685937,197499,214354,227248,1091601,500329,2257270,182138824.7,291886610.1,1.998490597
Neg,Yes,16168,14.443,728.56134,PE O-36:2|PE O-18:1_18:1,PE O-18:1_18:1,[M-H]-,null,0.75,TRUE,11.613,728.56,C41H80NO7P,EtherPE,GHNXVMPBTBKJRP-UHFFFAOYSA-N,O=C(OC(COCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN)CCCCCCCC=CCCCCCCCC,410,FALSE,TRUE,TRUE,Normalized unit: Intensity; Annotation method: Msp20250218112233_NCDK_conventional_converted_dev_1,FALSE,FALSE,16168,0,0,1,0.26,0.29,0.82,3,2,2.26,5219.61,QC-low_MSMS_neg1,728.56091:325729 729.56558:145641 730.57025:33269,82.26840:3388 82.31163:4098 82.48178:3779 82.50378:3808 82.57153:4015 94.42673:3014 94.47417:4150 94.48054:4245 94.80000:4910 94.82672:3074 94.85379:4562 97.29062:3177 109.50246:3250 109.56965:4427 109.60004:4549 109.62657:3959 109.63569:3407 109.93501:4469 110.03679:3363 111.43765:3279 128.48494:3264 128.53285:4030 128.65099:3077 128.78270:4125 128.86981:3297 128.92661:3580 128.96152:3932 129.04466:5003 129.08754:4638 129.17247:3735 152.99226:5911 153.04240:5578 153.10268:5425 153.26880:4370 153.48578:5531 153.53955:3864 153.59528:4110 185.07787:5596 185.09718:3643 185.15990:6223 185.44528:4013 185.75117:4751 185.82355:5968 228.33911:4623 228.44930:6032 228.54199:4694 228.65283:6942 229.34924:7652 229.47284:4963 281.24857:132859 281.27829:6963 289.19629:4291 289.32483:5449 290.20297:4114 290.34470:4418 309.28021:37824 317.34158:3944 356.57626:4963 377.58942:6703 377.78864:3913 377.83289:8891 379.09546:9907 379.31250:4176 379.73795:3646 436.28305:7733 446.30154:6873 446.63159:4598 464.31433:13388 513.77972:6022 514.08588:8357 514.16486:6343 514.46136:5908 515.49847:5629 515.83795:6095 516.16644:7550 728.56189:12983,4191419,2351950,582654,53301,463786,236918768,174806641,183402606,167022304,111826837,199624746,1719055,987453,210957,228494,305528,1597993,758521,3000726,54726304.92,86065047.2,1.839244537
