Mixture Component,Molecular Weight,Conc. (ug/mL),Conc. (uM),Conc_in_sample
15_0-18_1(d7)_PC,753.11,100,132.7827276,1.207115706
18_1(d7)_Lyso_PC,528.72,100,189.1360266,1.719418424
15_0-18_1(d7)_PE,711.03,100,140.6410419,1.278554926
18_1(d7)_Lyso_PE,486.64,100,205.4907118,1.86809738
15_0-18_1(d7)_PG,764.02,100,130.886626,1.189878418
15_0-18_1(d7)_PI,847.13,100,118.0456364,1.073142149
15_0-18_1(d7)_PS,777.02,100,128.696816,1.169971055
15_0-18_1(d7)-15_0_TAG,812.37,100,123.0966185,1.119060169
15_0-18_1(d7)_DAG,587.98,100,170.073812,1.546125564
18_1(d7)_MAG,363.59,100,275.035067,2.500318791
18_1(d7)_Chol_Ester,658.16,100,151.9387383,1.381261257
d18_1-18_1(d9)_SM,738.12,100,135.4793259,1.231630235
d18_1-15_0(d7)_Cer,530.92,100,188.3522941,1.712293583
Cholesterol(d7),393.399,,1336.06,2.4292
