Polarity,Alignment.ID,Average.Rt.min.,Average.Mz,Metabolite.name,Metabolite,Adduct.type,Post.curation.result,Fill..,MS.MS.assigned,Reference.RT,Reference.m.z,Formula,Ontology,INCHIKEY,SMILES,Annotation.tag..VS1.0.,RT.matched,m.z.matched,MS.MS.matched,Comment,Manually.modified.for.quantification,Manually.modified.for.annotation,Isotope.tracking.parent.ID,Isotope.tracking.weight.number,RT.similarity,m.z.similarity,Simple.dot.product,Weighted.dot.product,Reverse.dot.product,Matched.peaks.count,Matched.peaks.percentage,Total.score,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,X1,X11,X12,X13,X14,X15,X16,X17,X19,X2,X4,X5,X6,X7,X8,X9,QC1,QC2,QC3,X1.1,X1.2,ppm
Neg,4203,10.371,575.53961,Cer_NS 18:1(d7);2O/15:0,Cer_NS 18:1(d7);2O/15:0,[M+HCOO]-,null,1,TRUE,11.98,575.5386,null,Cer_NS,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,4203,0,0,1,null,null,null,null,null,1,3471852,QC1,575.53955:25764404 576.54422:9507493 577.54889:2063778,78.04748:12301 92.20099:81888 95.78125:13159 112.58022:11594 143.05528:11246 179.10107:11410 204.86189:11032 209.22021:13304 223.20663:114450 240.23323:118595 240.63905:11283 241.21686:77416 244.26585:149832 266.24887:558904 270.28217:145093 273.29294:16244 282.24313:102169 481.51093:42091 497.50638:93603 499.52225:190941 529.53284:1218314 555.51971:14508,130050167,137523750,100773847,106154989,149700576,113410127,123761581,154508377,103159171,113371299,133367089,144532088,118106109,117186618,132980831,143397042,212925687,224552925,206981949,140339169.5,36672596.84,1.754877953
Pos,7058,10.453,513.539,Cer_NS 18:1(d7);2O/15:0,Cer_NS 18:1(d7);2O/15:0,[M+H-H2O]+,null,1,TRUE,11.98,513.53821,null,Cer_NS,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,7058,0,0,1,null,null,null,null,null,1,38617.4,QC3,513.53900:122623904 514.54367:42358824 515.54834:8148906,76.53027:42531 81.07000:191664 82.06516:226366 92.19200:151418 92.19814:240465 93.07007:82697 95.08553:182701 107.08540:71552 109.10139:68279 121.10126:206442 126.88732:43153 135.11710:73134 172.83884:50952 198.51794:51132 218.24927:58967 242.24818:405245 259.31299:2915354 266.24857:97747 270.30637:244766 271.31293:25654094 280.28378:52970 289.32349:3462195 309.05609:49884 483.52612:75211 495.53088:361037 513.53992:287750,667219200,661391680,549665472,545952398,665548626,590658756,608066942,704432640,582022528,544477632,637884798,604170226,582574258,626200945,683383305,689969611,1102222829,1127858736,1120993044,699720717.2,191970684.1,1.538347069
Pos,10367,13.58,605.5871,DG 15:0_18:1(d7),DG 15:0_18:1(d7),[M+NH4]+,null,0.53,TRUE,15.76,605.5844,null,DG,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,10367,0,0,0.98,null,null,null,null,null,0.98,491.81,QC2,605.58685:5446294 606.59152:1809281 607.59619:410549,76.23772:3639 80.20548:3412 81.06986:26618 83.08570:4782 85.10110:8420 92.19535:27916 95.08562:26256 97.10130:9025 102.50357:3658 105.67001:4354 107.08587:3555 109.10133:20071 114.43286:4783 121.10159:7479 123.11683:16177 127.52419:3846 135.11716:5897 140.13261:3625 149.13315:4412 151.33568:4094 220.66882:3934 225.22127:5252 265.25311:4400 272.29803:4811 299.25803:123963 345.32718:4771 346.33340:139606 394.03580:4783 466.54858:4403 482.49384:5511 542.97528:5397 570.54889:68081,41929976,38522128,30998398,31820500,38144317,39746924,44028212,35868505,32347180,32813612,43682776,38131348,39463324,39280256,36536963,35075500,69961917,68467898,62585356,42073952.09,11764992.59,4.458503224
Pos,7569,2.341,529.4007,LPC 18:1(d7),LPC 18:1(d7),[M+H]+,null,1,TRUE,2.47,529.3994,null,LPC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,7569,0,0,0.99,null,null,null,null,null,0.99,36611.84,QC2,529.40070:78226336 530.40536:22359620 531.41003:3967154,81.07012:36563 86.09657:1372251 92.19223:110857 92.19816:79169 104.10713:10831692 119.62627:33156 125.00005:476010 163.01578:55870 184.07367:15135083 200.71913:30851 258.11063:231386 346.33417:513782 368.20007:33468 452.31802:175519 511.38971:1166872 516.74445:32719 529.40051:1686594,633488226,666440996,585486010,635725825,605869184,652968713,654522667,588104963,600341440,630962831,674242026,591937964,623724537,618988340,602307456,583415287,1172223674,1179449854,1159713943,708416523,207346963.3,2.455612908
Neg,2850,2.408,485.3385,LPE 18:1(d7),LPE 18:1(d7),[M-H]-,null,1,TRUE,2.56,485.3379,null,LPE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,2850,0,0,1,null,null,null,null,null,1,945052.4,QC2,485.33820:19088568 486.34286:4942062 487.34753:883627,78.95882:144761 86.06264:10393 92.20225:121968 93.38093:9534 140.01137:136922 152.99524:43859 175.56026:10148 196.03775:819884 197.52444:9841 208.85033:12380 214.04836:151707 216.45642:9940 248.42355:11572 288.29230:7760293 485.33752:539513,90289644,66953021,117044007,179485568,62595372,123299076,91785828,34908143,189363944,148469211,74929747,82625481,155247576,75269190,63957192,62991216,254526344,260376084,266935567,126371169,72988760.74,1.236252104
Pos,6213,2.445,487.35434,LPE 18:1(d7),LPE 18:1(d7),[M+H]+,null,1,TRUE,2.56,487.35355,null,LPE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,6213,0,0,1,null,null,null,null,null,1,2253.46,QC2,487.35403:16435875 488.35870:4271675 489.36337:674494,77.47065:6324 81.06983:12595 92.19236:13231 92.19784:10758 95.08566:15347 98.98447:13194 107.08533:7647 114.13254:7177 118.79844:5916 121.10161:30521 134.65399:5820 135.11693:31464 135.89226:7087 155.01085:84207 156.01680:8277 163.11325:7231 173.02061:9733 198.05251:15721 216.06381:31334 254.28754:12026 272.29684:60585 315.33926:161368 325.97614:7471 346.33401:1673685 459.51315:7347 465.26920:6840 483.53561:7017 487.36224:85362,133282504,98243904,152414240,154647344,93914824,167345056,112337096,96849896,160745824,131753200,117258688,116053760,150424688,101004848,97431856,92526632,228992363,226949570,227694959,139993223.8,46013550.56,1.620999785
Neg,7975,10.778,797.60522,PC 15:0_18:1(d7),PC 15:0_18:1(d7),[M+HCOO]-,null,0.53,TRUE,11.9,797.60323,null,PC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,7975,0,0,0.99,null,null,null,null,null,0.99,559.85,QC2,797.60522:7573362 798.60989:3220953 799.61456:854658,91.21479:5669 92.19857:11300 92.20470:30301 97.47433:5342 121.16648:4859 168.04276:21205 192.83905:6080 194.03233:5195 224.07011:8793 227.19902:6319 241.19258:10983 241.21729:305539 287.28683:20580 288.29236:884293 466.29306:31528 513.36377:6576 723.06500:5595 732.52576:5910 737.57971:65394,47069685,45047052,36197400,36625756,46991106,14391324,38927646,51182478,36889265,37775393,42743371,42993525,39873210,37068067,43506581,45433594,77272097,76726658,73842804,45818790.05,15372784.86,2.494974851
Pos,16102,10.897,753.61475,PC 15:0_18:1(d7),PC 15:0_18:1(d7),[M+H]+,null,0.63,TRUE,11.9,753.6134,null,PC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,16102,0,0,1,null,null,null,null,null,1,7003.91,QC1,753.61475:120646104 754.61941:54458484 755.62408:13743351,86.09148:73957 86.09656:1611858 92.19534:420259 98.98453:61705 104.10688:226394 125.00016:728692 136.30153:60936 144.93263:60236 184.07372:28152910 200.39899:53019 204.28630:56349 322.93411:75474 370.37088:59861 388.29117:58918 420.26758:63482 622.44324:59694,822870629,624739658,692070766,643930286,799249531,649761510,770667613,838754560,717097900,751880925,805834280,761284288,686519964,790997120,827716201,808994422,1367333658,1375646603,1344588738,846312560.6,238720010.2,1.791369421
Neg,6279,10.997,709.5528,PE 15:0_18:1(d7),PE 15:0_18:1(d7),[M-H]-,null,1,TRUE,12.21,709.5519,null,PE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,6279,0,0,1,null,null,null,null,null,1,1250751,QC2,709.55273:9363267 710.55740:3585453 711.56207:971184,78.95887:29237 84.47347:4662 90.75143:4501 92.19975:33665 92.20605:17847 121.23787:5148 129.06615:4945 132.34499:4954 140.01173:85450 196.03757:54664 241.21716:747613 251.37038:4397 273.71741:4670 287.28558:33999 288.29236:2386974 291.19513:5512 352.38776:4586 369.24789:5480 420.25098:11522 438.26300:67262 709.55280:60376,58050297,41679547,54774849,51601758,47824995,61329150,45932492,33205223,56704241,46983152,50021100,52544355,58233321,40464126,45597399,43441010,87640876,86127716,86328543,55183376.31,15641944.4,1.268406159
Pos,14458,11.093,711.5697,PE 15:0_18:1(d7),PE 15:0_18:1(d7),[M+H]+,null,1,TRUE,12.21,711.56755,null,PE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,14458,0,0,0.99,null,null,null,null,null,0.99,10687.11,QC2,711.56952:27937252 712.57419:12350887 713.57885:2497020,81.07002:206380 82.04952:13048 83.08580:100205 85.06467:18769 85.10136:150611 92.19528:236124 93.06983:22803 95.08568:276390 96.09174:23111 96.91786:14097 97.10171:93891 107.08572:19869 109.10135:206419 110.47105:13589 111.11683:67875 121.10133:116124 123.11729:98557 125.13294:27473 135.11707:122701 137.13246:56677 144.17772:13920 149.13254:32911 216.05972:13664 225.22151:265032 240.18729:13347 254.28627:24894 268.26425:24058 272.29721:230566 299.25827:67905 315.33862:114029 346.33426:84034 439.79480:14724 570.54889:2442821,194856360,151124624,190303282,189950791,171941157,210530342,155174912,173281205,201456555,167118129,171191453,176573887,205847616,144117550,161304486,146475457,308433287,313283777,301335230,196542110.5,53148427.31,3.0214981
