Polarity,Alignment.ID,Average.Rt.min.,Average.Mz,Metabolite.name,Metabolite,Adduct.type,Post.curation.result,Fill..,MS.MS.assigned,Reference.RT,Reference.m.z,Formula,Ontology,INCHIKEY,SMILES,Annotation.tag..VS1.0.,RT.matched,m.z.matched,MS.MS.matched,Comment,Manually.modified.for.quantification,Manually.modified.for.annotation,Isotope.tracking.parent.ID,Isotope.tracking.weight.number,RT.similarity,m.z.similarity,Simple.dot.product,Weighted.dot.product,Reverse.dot.product,Matched.peaks.count,Matched.peaks.percentage,Total.score,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,QC_1,QC_2,QC_3,QC_MSMS_pos_top80_1,XZ_43,XZ_44,XZ_45,XZ_46,XZ_47,XZ_48,XZ_49,XZ_50,XZ_51,XZ_52,XZ_53,XZ_54,XZ_55,XZ_56,XZ_57,XZ_58,XZ_59,XZ_60,XZ_61,XZ_62,XZ_63,XZ_64,XZ_65,XZ_66,XZ_67,XZ_68,XZ_69,XZ_70,XZ_71,XZ_72,XZ_73,XZ_74,XZ_75,XZ_76,XZ_77,XZ_78,XZ_79,XZ_80,XZ_81,XZ_82,X1,X1.1,ppm
Neg,6834,10.971,575.53766,Cer_NS 18:1(d7);2O/15:0,Cer_NS 18:1(d7);2O/15:0,[M+HCOO]-,null,1,TRUE,11.98,575.5386,null,Cer_NS,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,6834,0,0,1,null,null,null,null,null,1,9986.31,QC_MSMS_neg_top80_1,575.53766:56460536 576.54233:21053608 577.54699:4623624,78.96442:4232 80.45778:3579 80.58193:4098 80.77577:3670 82.47516:4374 84.09377:3775 84.35001:4353 88.59641:3581 89.02667:3873 91.50246:3423 151.04587:5097 157.31470:4535 223.20621:24281 228.36575:4238 240.23285:38745 241.13080:4663 241.20610:4807 241.21677:28931 244.26587:27494 266.24841:100852 270.28162:22658 273.29236:6604 282.24329:25822 437.68610:4186 481.51181:32799 497.50632:15609 499.52145:24769 501.98752:4997 516.57764:4485 529.53278:234744,373417487,377796985,307995795,352013583,154709348,145819307,150849502,147680710,154902826,136197483,147578559,149204669,148998353,147844962,154729019,146122578,150379852,155653828,165227071,157428419,155079783,155683205,139186046,156700667,154043757,146083191,150264944,154837606,152422022,152765592,155521382,92774079,153066147,168107660,164536566,171220858,164398380,158334568,164035736,158940289,160105692,151661795,169444941,164190604,171317178.3,59853375.71,1.633252748
Pos,8698,10.882,513.53754,Cer_NS 18:1(d7);2O/15:0,Cer_NS 18:1(d7);2O/15:0,[M+H-H2O]+,null,1,TRUE,11.98,513.53821,null,Cer_NS,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_1,FALSE,FALSE,8698,0,0,1,null,null,null,null,null,1,12590.03,QC_MSMS_pos_top80_2,513.53766:253197408 514.54233:90684920 515.54699:16981252,76.53440:3955 76.69405:3870 79.05444:14762 81.06997:22250 81.35148:4094 82.06526:23946 83.08556:5022 85.10155:4805 85.59982:4276 93.06998:19846 94.06469:4585 95.08568:20555 96.08096:10434 97.10143:6560 107.08575:17168 108.82275:4116 109.10130:11997 114.13213:5077 121.10120:20783 128.62411:4586 129.78345:4611 133.08601:6989 135.11699:17676 138.10548:4339 149.13254:6413 149.85217:4893 218.24974:17151 242.24791:71045 254.28618:13509 256.82242:4918 259.31253:448330 266.24823:11931 270.30640:22163 271.31247:3704356 272.29675:6393 284.29071:5294 289.32294:591651 306.81915:4737 426.33466:4781 473.86948:5086 483.52597:14024 495.52750:28687 513.53668:41145,1262694921,1285729405,1341509648,1384674062,487589714,467230354,444300858,469374240,500118393,389223985,490751889,512437042,506730224,503423880,530806120,471610237,476923685,498795690,513112443,508113564,523455052,526531901,462416817,512940595,522858936,505091384,455390940,514035779,526959055,515882820,528132243,569510349,565879991,571843916,584504006,552683649,588089194,526484028,567055831,549232993,571595287,500191396,569744237,532461346,640172541,305040911,1.304674096
Pos,12533,14.205,605.58502,DG 15:0_18:1(d7),DG 15:0_18:1(d7),[M+NH4]+,null,1,TRUE,15.76,605.5844,null,DG,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_1,FALSE,FALSE,12533,0,0,1,null,null,null,null,null,1,58892.97,QC_MSMS_pos_top80_1,605.58527:4452114 606.58993:1761847 607.59460:330440,78.00504:4148 81.06986:38920 83.08548:23600 84.09164:3563 85.10108:20828 93.07023:7892 93.08734:4546 95.08541:65155 96.09178:5602 97.09814:4897 97.10108:22836 107.08548:7245 108.32076:4603 109.10120:36817 111.11681:16280 121.10114:25202 123.11676:17509 125.13245:7426 127.75745:4306 135.11684:19539 137.13255:12465 144.57881:4035 149.13258:14536 153.91948:4730 163.14792:4989 173.25002:4419 175.13597:5032 199.22002:4032 204.70001:3951 211.98082:4666 215.91998:4833 225.22154:28888 243.23161:10556 254.28545:5164 263.24496:4399 272.29633:28479 299.25778:399812 346.33298:371665 361.94366:5672 570.54718:195194 605.54944:17371 605.60077:7340,27164734,24664778,23446769,26979130,6566284,6132780,5852603,6442968,6190547,5845857,6265360,6525698,6538620,6440096,6635260,6258205,6167288,5757809,6881408,7127761,6942717,7017802,5837108,6744632,6232045,6407000,5498548,6560710,7124706,6330051,6367041,6928924,6538231,6287262,6292676,6646989,6796599,6302548,6194010,6234013,6267420,6122346,5926060,5808378,9077414.797,6576335.338,1.023804444
Pos,9277,2.193,529.39948,LPC 18:1(d7),LPC 18:1(d7),[M+H]+,null,1,TRUE,2.47,529.3994,null,LPC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_1,FALSE,FALSE,9277,0,0,1,null,null,null,null,null,1,4820.4,QC_MSMS_pos_top80_2,529.39929:147087664 530.40396:42436292 531.40863:7998863,82.65458:60799 84.49553:56971 86.09647:1118706 90.36032:63446 104.10714:12090392 104.62922:67117 105.25130:54600 110.59776:53595 112.15505:51460 114.80883:54941 124.99989:457753 153.30788:61169 155.31564:64149 156.18968:62334 158.29610:54082 170.42650:61454 184.07336:16104421 184.42757:61395 257.71234:59873 258.11017:359427 262.06351:55557 283.75015:62045 285.73593:66625 296.25946:53988 311.51086:70391 346.33292:481229 452.31650:166242 511.38879:1180116 519.33063:64139 529.39966:2040118,994034654,1008082152,1022691249,1096039080,277126572,268864010,251699197,256890312,297556047,276773773,271876832,283051038,281868381,287407264,295383470,271846936,286485606,244846056,291890455,263192192,299244074,264675726,250829788,283671057,286220884,296955672,284718528,296627499,301315725,269455778,275979257,292776330,279995635,293230034,306965477,324420103,320103957,278118888,308130978,270619862,307206329,264484458,298956492,297697891,387957043,277145174,0.151114641
Neg,4680,2.347,485.33704,LPE 18:1(d7),LPE 18:1(d7),[M-H]-,null,1,TRUE,2.56,485.3379,null,LPE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,4680,0,0,1,null,null,null,null,null,1,5139.52,QC_MSMS_neg_top80_1,485.33710:20606496 486.34176:4814847 487.34643:796193,77.54606:9040 78.95887:67213 91.85555:8298 92.25458:11094 95.72984:9330 104.32913:10960 104.38534:9085 106.44535:11114 113.01244:9471 128.22546:8883 129.12883:9411 130.46405:8712 140.01163:91333 141.98438:9585 151.65381:9308 152.99617:14203 189.07982:10020 196.03110:34949 196.03815:343889 199.10876:9594 214.04849:72679 234.36160:8936 244.61845:9766 287.28534:22138 288.29144:3878896 332.27704:10573 459.58231:11484 485.33749:361714,139184660,150568402,111970049,124916868,39252637,38227500,33999524,32286266,37884289,18451816,37852740,40201606,43978237,36920251,42412747,29900310,35959459,38226904,45571241,39513741,52496620,41583178,45839696,51339219,45804498,51855758,28911766,43554928,60863606,44766435,49584814,56884420,54158737,46082551,52092460,43776597,59664254,55365849,53110591,59700403,55072950,58773668,48288267,52321999,52935738.93,27149230.11,1.771961349
Pos,7606,2.306,487.35251,LPE 18:1(d7),LPE 18:1(d7),[M+H]+,null,1,TRUE,2.56,487.35355,null,LPE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_1,FALSE,FALSE,7606,0,0,0.99,null,null,null,null,null,0.99,463.72,QC_MSMS_pos_top80_2,487.35242:20993166 488.35708:5475482 489.36175:935848,76.67442:3025 76.71332:3752 79.88757:3651 83.08544:4564 83.77396:3376 92.24321:4317 95.08567:4086 97.57764:3458 98.98413:4630 102.29858:4404 103.99019:3965 105.00252:3718 121.10099:6492 131.39153:4058 135.11664:4081 155.01056:21184 155.22685:4072 182.24272:3284 204.27577:4851 216.06334:5840 239.65634:3994 266.64856:4064 269.40674:4875 272.29648:11598 307.42480:3795 315.33832:25770 346.33310:395340 412.76086:4761 445.89886:4189 487.35886:7228,131595759,131986446,128766746,141123945,36744394,36837389,33139328,31014905,38439984,19307395,37553222,40789654,43037127,37056974,41206001,31025867,35947833,36726659,43562772,40956750,50044272,40286020,44064955,47618799,42976273,48978950,30450769,43844014,28869233,45913190,47596727,54829584,55013483,45549634,49934526,45335128,56243217,54078803,28099765,33152437,53573582,30576680,45532651,50355321,55203087.35,34385233.99,2.133974401
Neg,13635,10.626,797.60315,PC 15:0_18:1(d7),PC 15:0_18:1(d7),[M+HCOO]-,null,0.23,TRUE,11.9,797.60323,null,PC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,13635,0,0,1,null,null,null,null,null,1,2954.31,QC_MSMS_neg_top80_1,797.60315:14702031 798.60782:6180559 799.61248:1940603,80.71632:4738 80.97619:6417 87.89964:4718 92.25052:8215 112.27258:5878 114.44080:5435 119.59333:5315 168.04332:10411 168.45615:5848 187.31668:5434 241.21703:232435 246.63409:5461 281.24692:11046 282.25140:9951 288.29169:501450 303.23190:12599 304.23477:6418 416.05698:5756 427.57715:5628 438.15598:5869 448.97968:5851 466.29471:33785 587.06836:6240 737.58264:52776,85895431,85593193,70481875,92897777,40737062,38398367,46553162,44818219,43418845,55189632,40041383,37558761,33469738,40858468,45994439,49363008,50291456,43852811,49480860,43754429,44433376,40889138,42387088,44171679,41214453,37979389,52448632,41205912,40713554,43183316,45942608,43538252,38522085,42566788,41850886,55068259,42727849,37138749,43207980,41358251,39748824,41675918,47740607,47378634,45397979.95,14867331.72,0.100300497
Pos,18698,10.577,753.61304,PC 15:0_18:1(d7),PC 15:0_18:1(d7),[M+H]+,null,1,TRUE,11.9,753.6134,null,PC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_1,FALSE,FALSE,18698,0,0,1,null,null,null,null,null,1,5683.32,QC_MSMS_pos_top80_2,753.61304:218314080 754.61770:96022408 755.62237:24634806,76.15393:5359 84.83701:5371 86.09652:333577 89.59069:5560 92.37264:5370 96.22717:5388 97.80901:5377 98.98415:22389 103.82166:5780 104.10704:67893 124.99985:174388 133.23520:6022 141.82878:5871 184.07335:8657041 185.07715:16368 194.59615:7332 212.62674:6470 283.06442:6850 286.27405:5773 289.92416:5285 306.82672:6360 378.44019:6326 409.23093:6347 457.59375:6884 482.32504:13107 483.67352:7175 511.38889:8703 570.54730:17251 606.70935:9154 753.61334:42075,1398403416,1401788469,1411040429,1463029668,605667385,608049494,650302903,634826977,655736295,595076313,609579174,632712827,561217257,621091317,656261447,689680796,688242767,627495739,691098294,662445757,644754677,628081809,613501633,647882693,641939256,619482593,666969442,635594836,646149822,649381502,689761493,637195497,632715264,672387625,653211676,702208540,657455742,596591610,675555916,630724942,659268122,584813882,705970910,664396887,753429011.2,292604884.1,0.477698512
Neg,10572,11.121,709.5509,PE 15:0_18:1(d7),PE 15:0_18:1(d7),[M-H]-,null,1,TRUE,12.21,709.5519,null,PE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,10572,0,0,1,null,null,null,null,null,1,5602.16,QC_MSMS_neg_top80_1,709.55096:14977504 710.55563:6502644 711.56030:1474231,78.95884:13880 99.35496:4656 106.40937:4904 131.49144:4675 133.15472:4784 140.01178:58429 150.03239:4935 154.55110:4975 177.53671:5549 193.41693:5283 196.03781:21594 230.99399:6709 241.21712:518714 287.28732:4754 288.29156:1312364 348.67682:4908 363.04138:6625 420.25134:12996 438.26181:53002 441.07083:5720 485.34009:6605 580.12158:6373 657.33466:6495 672.61176:6148 709.55194:43046,101520099,106264121,92319636,100782371,46883766,45098556,49129962,41037391,45918414,33605778,47073373,49748768,45854845,45641387,50780332,52313011,49737894,51496207,56379377,52786813,57067827,50592453,56907822,58526307,52179939,57086980,44485820,53095007,64268245,53595600,56983575,56368496,54412877,51199284,54030741,55063171,57240204,54440960,55926592,59660048,51725074,60444070,54955999,57907400,56183705.19,15746520.84,1.409340177
Pos,17029,11.028,711.56696,PE 15:0_18:1(d7),PE 15:0_18:1(d7),[M+H]+,null,1,TRUE,12.21,711.56755,null,PE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_1,FALSE,FALSE,17029,0,0,1,null,null,null,null,null,1,3538.5,QC_MSMS_pos_top80_2,711.56720:49698260 712.57187:19450748 713.57654:5286678,79.05414:9857 79.61225:4824 81.06998:123517 82.07619:15423 82.93099:4794 83.08275:7874 83.08556:90402 84.09167:11893 85.06471:12883 85.09885:5408 85.10132:68783 86.10435:9190 87.11081:8931 88.11700:9203 92.24322:13349 93.06972:19921 94.19551:5633 95.08554:211039 96.09172:19524 97.09814:12497 97.10126:66764 98.10452:12390 98.10752:6669 99.08031:6235 99.11066:12107 99.11372:5927 99.11684:7817 100.11703:8797 100.11999:11123 101.12647:6536 102.13286:9677 103.13889:6987 107.08550:22615 109.10126:117703 110.10748:20241 111.08035:6687 111.11352:6814 111.11691:45375 112.11983:7785 114.13253:9666 115.09815:4741 117.15416:6913 121.10126:89901 123.11692:69126 125.09617:6210 125.13241:14532 127.11191:5280 130.16078:8204 132.77150:5287 135.11676:89942 136.12311:6969 137.13245:26101 144.17676:6958 149.13268:37951 151.14835:20791 153.12756:19084 158.19237:22339 158.46135:5535 163.14822:15826 165.16389:8627 172.20758:16771 207.21097:15585 212.23898:6777 225.22137:185358 243.23245:7090 254.28586:67706 265.13638:5440 268.26288:24127 269.62610:6091 271.31290:7062 272.29648:179073 275.56284:5836 299.25787:56459 301.54776:5407 306.81210:5639 315.33871:98084 328.32446:8761 332.10550:5872 346.33356:56634 384.12457:6663 570.54742:2106679 598.76764:5749,348574799,347459187,345979271,362878928,122775094,110224911,109398156,89027953,111368380,62545630,113555463,127442290,122373180,113862392,115358694,108089676,104411124,111988509,126021923,133137370,143679691,139310785,129374177,148409345,133697409,141954097,86248439,136783942,162898489,136735474,133450855,153717413,142239022,127949051,136523211,120460164,157137251,143055598,138026450,153091397,149652834,139891656,125867176,132604800,160934943.9,83366579.79,0.829155292
