O4_0220,O2_0220,Y2_1219,O1+O5_1219,O3_0220,Y1_1219,Y3_0220,O2+O3_1219,Y5_0220,O1_0220,Y2_0220,O5_0220,Y4_0220,Y4_1219,O4_1219,Y1_0220,QC1,QC2,QC3,LipidIon
3244925.97,2467906.97,3369778.45,2963947.00,3074746.98,3033149.84,2828034.84,2702692.92,2962981.36,2405091.23,2374013.61,3031012.81,3067636.49,3365442.60,2858295.55,2487308.84,2042026.40,2013204.28,1822868.56,15:0-18:1(d7)_DAG+NH4
103909761.40,88182827.64,96760895.76,91879777.22,89425313.99,90269120.36,101372592.10,97914016.05,104917679.80,82417486.71,84329265.73,98895275.01,87712548.67,90505708.58,102952577.30,87584561.13,66753407.67,67892891.62,65125191.18,15:0-18:1(d7)_PC+H
21175971.01,17566727.00,17614552.00,18367098.76,21414808.36,14802194.90,17243977.85,15449268.86,15682111.27,19982008.49,19437984.06,17989504.64,21849079.01,15947610.47,18062590.50,20999622.82,11277324.16,11616636.12,11023019.98,15:0-18:1(d7)_PE+H
9815074.14,9142031.86,8721757.13,10342074.29,9463179.09,10088341.90,9009980.82,8854034.52,9550179.18,9213842.69,9753131.67,7649079.25,10239699.73,10390770.34,8074459.18,9624834.36,8728571.57,8756734.49,8359236.65,15:0-18:1(d7)_PG-H
2001453.59,2698287.30,1471732.74,3091099.58,2271475.22,4547733.42,2100734.28,1560555.55,2206879.44,2821561.83,3009444.50,1014518.57,2848449.32,2838963.90,930216.86,2948655.27,2217140.69,2253683.75,2193392.32,15:0-18:1(d7)_PI-H
3107205.70,2535160.29,2216595.05,1748139.75,3054866.67,2840929.00,2749537.14,2523524.93,2437101.37,2958944.45,2838775.23,1540522.32,3427627.07,1653863.04,1808349.60,3095049.80,1804725.50,1764468.12,1743966.01,15:0-18:1(d7)_PS-H
151161187.67,169144160.84,158443151.40,135114257.58,154814164.27,148860336.52,134821099.29,138145306.62,168363707.03,151962264.84,163746276.71,144862745.84,168369945.16,140603077.12,147025508.00,161278074.87,107966098.69,103976242.25,99460374.24,15:0-18:1(d7)-15:0_TAG+NH4
36911989.90,36420414.89,37780338.62,34252091.51,35896950.28,35806671.64,34059437.05,33721272.54,38198901.57,33739239.97,36464793.04,34202827.28,37582325.61,37550653.84,34208159.15,36018327.59,26261198.65,26257106.90,26031236.32,18:1(d7)_Lyso_PC+H
6411661.11,6481888.90,5635526.51,5601695.53,7224542.19,4969663.93,4784690.16,4468492.72,4678684.78,7303610.62,7406549.60,4530340.99,8035374.32,5378172.58,4667776.27,7895135.81,4976933.77,4897579.07,4948439.93,18:1(d7)_Lyso_PE+H
6591566.76,7221542.62,5814483.59,5547101.99,7579959.04,5124979.13,4506632.16,4392833.43,4938444.69,8348541.70,8731427.14,4668674.86,9074336.07,5955209.49,4496914.78,9326729.67,5975280.88,6147684.91,6265224.28,18:1(d7)_Lyso_PE-H
7741344.31,6344501.10,7300808.50,7404869.44,7002281.37,7139922.57,7759923.92,7961891.92,8013147.18,6428110.41,6222577.41,7876217.06,6894838.03,6978698.67,8295655.61,6597834.14,4967568.30,5070815.69,5248849.64,d18:1-15:0(d7)_Cer+H
39614990.67,32160865.76,37383954.33,37028730.68,35251260.11,36230123.25,39464933.13,39988319.86,39831886.36,33005969.89,32780559.40,39276046.79,34633845.98,35081955.76,41930991.42,33520791.03,24420471.94,25222485.59,24889280.82,d18:1-15:0(d7)_Cer+H-H2O
61077515.00,58567312.00,55250108.00,76577093.00,52710658.00,72953625.00,69808144.00,67148830.00,67748182.00,53498374.00,54394531.00,61156812.00,49838858.00,69338982.00,65099819.00,55146743.00,35909378.00,36266908.00,36497387.00,d18:1-18:1(d9)_SM+H
38908.34,11456.98,22051.28,44804.57,29750.22,21259.65,48467.42,49102.39,25950.05,16773.42,7127.24,55437.51,23285.05,22910.00,58678.33,14728.55,4665.79,7015.21,11541.07,Cholesterol(d7)+H-H2O
