Polarity,Alignment.ID,Average.Rt.min.,Average.Mz,Metabolite.name,Metabolite,Adduct.type,Post.curation.result,Fill..,MS.MS.assigned,Reference.RT,Reference.m.z,Formula,Ontology,INCHIKEY,SMILES,Annotation.tag..VS1.0.,RT.matched,m.z.matched,MS.MS.matched,Comment,Manually.modified.for.quantification,Manually.modified.for.annotation,Isotope.tracking.parent.ID,Isotope.tracking.weight.number,RT.similarity,m.z.similarity,Simple.dot.product,Weighted.dot.product,Reverse.dot.product,Matched.peaks.count,Matched.peaks.percentage,Total.score,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,QC.low_MSMS_pos2,XY.pos_1,XY.pos_10,XY.pos_11,XY.pos_12,XY.pos_13,XY.pos_14,XY.pos_15,XY.pos_16,XY.pos_17,XY.pos_19,XY.pos_2,XY.pos_3,XY.pos_4,XY.pos_5,XY.pos_6,XY.pos_7,XY.pos_8,XY.pos_9,X1,X1.1,ppm
Neg,12535,9.999,575.53766,Cer_NS 18:1(d7);2O/15:0,Cer_NS 18:1(d7);2O/15:0,[M+HCOO]-,null,1,TRUE,11.98,575.5386,null,Cer_NS,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,12535,0,0,1,null,null,null,null,null,1,10985.28,QC-low_MSMS_neg1,575.53809:110655640 576.54275:40899912 577.54742:8138062,82.58357:13477 91.14790:16259 94.69733:16368 94.95105:15929 109.91520:15980 119.41155:15373 128.59558:14209 153.12631:15082 153.45734:17626 153.49945:13915 185.76830:20411 223.20653:117497 240.23303:172585 241.21664:131547 244.26575:187511 266.24890:711155 270.28217:222303 273.29193:30853 275.30826:17273 282.24393:102722 290.22549:23546 290.37610:17356 305.31985:49162 377.84503:19974 378.09695:22399 378.29486:18713 379.17163:22098 383.40469:20953 386.26996:27408 417.01254:18806 430.26740:15668 481.51236:106757 488.94827:16191 497.50711:153212 499.52301:289938 514.17169:23600 514.81311:18925 515.84961:26980 516.20013:24279 529.53308:2795532 562.28870:17753,883118994,259376285,241342544,238256162,247782716,647293268,394701185,396970945,601876797,581817601,382482807,262344751,243835649,253575057,243984182,242830359,241480984,249199097,249066419,386712347.9,213686431.3,1.633252748
Pos,13125,10.005,513.53625,Cer_NS 18:1(d7);2O/15:0,Cer_NS 18:1(d7);2O/15:0,[M+H-H2O]+,null,1,FALSE,11.98,513.53821,null,Cer_NS,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,13125,0,0,0.99,null,null,null,null,null,0.99,6080.13,XY-pos_13,513.53680:72459176 514.54147:24065060 515.54614:4436175,null,798289644,174857437,187446855,178325235,186068023,518051351,323210973,316618079,513883133,370304095,307446971,182049345,177563748,188388003,178217799,181655615,179601660,188146494,186376107,280868450.8,167774928.9,3.81665855
Pos,17510,12.874,605.58435,DG 15:0_18:1(d7),DG 15:0_18:1(d7),[M+NH4]+,null,1,FALSE,15.76,605.5844,null,DG,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,17510,0,0,1,null,null,null,null,null,1,366.45,XY-pos_15,605.58441:6948096 606.58908:2536072 607.59375:475630,null,23070186,5416296,2420182,4575026,4917163,118949086,35005266,52354138,103049055,54440289,51039358,2485894,5478749,6150622,2492472,6401453,6240282,3281905,6045972,25990178.67,35189013.38,0.082564875
Pos,17682,12.868,610.53918,DG 15:0_18:1(d7),DG 15:0_18:1(d7),[M+Na]+,null,1,FALSE,15.76,610.53979,null,DG,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,17682,0,0,1,null,null,null,null,null,1,504.88,XY-pos_16,610.53979:12444532 611.54446:4424848 612.54913:1163291,null,123894858,27599941,25326324,24283546,24968270,107222856,56380968,50919259,110223872,71442435,48966347,23887635,28564159,32535825,27749809,33327879,34993264,27531786,32096263,47995541.9,32021096.41,0.999115881
Pos,14440,2.17,529.39886,LPC 18:1(d7),LPC 18:1(d7),[M+H]+,null,1,FALSE,2.47,529.3994,null,LPC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,14440,0,0,1,null,null,null,null,null,1,10734.62,XY-pos_16,529.39911:218411648 530.40378:61750716 531.40844:11455929,null,1728294477,517349016,726183414,615418790,251221445,3459702506,998050625,1592504820,3078393513,1592855422,1559958831,451695288,609256864,674666988,249816317,416306365,476977400,279672783,288465590,1029831077,933252866.2,1.020023823
Neg,9871,2.215,485.33804,LPE 18:1(d7),LPE 18:1(d7),[M-H]-,null,1,TRUE,2.56,485.3379,null,LPE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,9871,0,0,1,null,null,null,null,null,1,3067.03,QC-low_MSMS_neg1,485.33746:15754083 486.34213:3805213 487.34680:762990,78.95573:65959 80.48141:12853 90.24059:12753 91.93826:26832 91.94341:24637 94.60583:12032 94.80730:13455 97.29256:23524 98.74760:12077 111.10249:10990 128.15605:13619 128.54607:12794 128.64973:18375 128.92705:12805 129.01472:14513 129.08188:16633 140.01196:76007 152.99544:26475 153.07698:15710 153.58006:15133 153.64192:14045 164.04881:12950 185.18915:14641 185.48038:13861 185.79553:14580 185.84062:16666 185.87567:11392 196.03789:661260 197.21062:15105 214.04858:166716 229.19501:14121 287.28625:32359 288.29242:6899818 289.38483:19183 290.27585:13836 290.36243:13996 290.39163:16096 290.59113:15793 377.87158:15052 377.91559:20517 389.73148:16325 392.30911:13663 482.98328:12525 485.33743:1053386,246499025,17929521,32479248,18639099,28657064,412104022,136187507,132770760,286446558,142083754,147807909,29582752,22757213,29787400,27261064,25616666,26304059,33079095,31799614,103924073,113951985.3,0.288458824
Pos,12061,2.226,487.35214,LPE 18:1(d7),LPE 18:1(d7),[M+H]+,null,1,FALSE,2.56,487.35355,null,LPE,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,12061,0,0,0.99,null,null,null,null,null,0.99,1373.07,XY-pos_6,487.35226:6132394 488.35693:1639811 489.36160:314096,null,262165498,28166414,52698191,30790758,27584883,480133359,174911700,165673737,369431628,183470891,208759238,49447077,23738660,48948064,10925236,40912883,43491709,55162917,26990070,120179100.8,132234040.3,2.893176832
Pos,4281,3.767,381.37015,MG 18:1(d7),MG 18:1(d7),[M+NH4]+,null,0.21,FALSE,4.97,381.3704,null,MG,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,4281,0,0,1,null,null,null,null,null,1,6.59,XY-pos_16,381.37042:99194 382.37509:25635 383.37976:0,null,0,69423,122917,73485,40319,516254,233529,81715,663048,192046,229782,91408,154968,42165,54174,89289,22613,138886,40049,150319.4733,170152.8258,0.655530686
Neg,18057,10.628,797.60431,PC 15:0_18:1(d7),PC 15:0_18:1(d7),[M+HCOO]-,null,0.7,TRUE,11.9,797.60323,null,PC,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Neg_110725_2,FALSE,FALSE,18057,0,0,1,null,null,null,null,null,1,1653.04,QC-low_MSMS_neg1,797.60431:16230921 798.60898:7756202 799.61364:2017731,78.95589:21779 79.29259:42770 82.27549:12000 82.30819:18175 82.41794:14522 82.57043:15956 94.41747:12246 94.47393:15188 94.51045:12466 94.60910:16139 97.29247:28994 99.80087:12813 100.70723:13953 109.14954:25082 109.15572:16974 109.63622:13319 109.82379:16506 109.93386:15998 118.07985:14392 122.84255:20081 124.03615:12592 128.56343:12690 128.61371:15909 128.95236:13709 128.99661:14087 129.04121:15005 152.52589:19711 152.91156:16412 152.99908:14862 153.04424:13762 153.09612:17292 153.48373:18137 168.04314:175737 185.14236:13457 185.22870:26207 185.66722:18158 185.82091:21106 198.93504:16007 220.02080:12621 224.06934:126868 229.25117:15989 241.21736:2495665 287.28653:143588 288.29251:7747126 289.04221:14255 289.17395:13423 289.23447:13639 289.26773:14157 289.31662:18707 289.34293:15631 289.61429:17610 289.72101:12990 290.19681:20719 336.40836:13994 350.61316:22345 377.80392:23474 378.25043:19552 379.08096:14629 379.12289:24771 386.22180:18978 386.27679:23936 402.59131:13234 409.19211:13479 448.28052:81174 453.20529:14586 466.29346:463292 495.35687:43867 513.36731:53517 514.08862:27744 514.80634:20618 516.12140:22606 624.03613:15613 737.58350:1470870 740.01508:18509 740.56036:23467 742.90509:20468 743.51654:22271,266729490,29421640,75909482,74548308,78660380,6701582,4649123,4344380,7693494,4824472,4280506,62567668,81648405,59508513,34336279,77179103,83919955,29389462,33244704,65754326.69,79749029.2,1.354056703
Pos,23678,10.468,753.61255,PC 15:0_18:1(d7),PC 15:0_18:1(d7),[M+H]+,null,0.37,FALSE,11.9,753.6134,null,null,null,null,520,TRUE,TRUE,FALSE,Normalized unit: Intensity; Annotation method: JC_STD_Lib_Pos_110725_2,FALSE,FALSE,23678,0,0,1,null,null,null,null,null,1,10071.84,XY-pos_6,753.61261:122824 754.61728:0 755.62195:0,null,1963182592,384493600,380665056,357761408,363769504,2684205351,1519479521,1548752987,2679656224,1667778612,1534034601,362688352,363246880,405615776,370054336,361236000,385677952,371766464,403918048,953051750.8,834085503.5,1.127899265
