Key,Sample
XZ1,Y1-act-11
XZ3,Y1-qui-scr-11
XZ5,Y2-qui-try-11
XZ7,Y3-act-11
XZ9,Y3-qui-scr-11
XZ11,O1-qui-try-11
XZ13,O2-act-11
XZ15,O2-qui-scr-11
XZ17,O3-qui-try-11
XZ31,Act-Adherent-1
XZ33,Act-suspension-1
XZ19,Y1-act-8
XZ20,Y1-qui-8
XZ21,Y2-act-8
XZ28,O2-qui-8
XZ29,O3-act-8
XZ30,O3-qui-8
XZ22,Y2-qui-8
XZ23,Y3-act-8
XZ24,Y3-qui-8
XZ25,O1-act-8
XZ26,O1-qui-8
XZ27,O2-act-8
XZ32,Act-Adherent-2
XZ34,Act-suspension-2
XZ2,Y1-qui-try-11
XZ4,Y2-act-11
XZ6,Y2-qui-scr-11
XZ8,Y3-qui-try-11
XZ10,O1-act-11
XZ12,O1-qui-scr-11
XZ14,O2-qui-try-11
XZ16,O3-act-11
XZ18,O3-qui-scr-11
