blank1,XY.1,XY.2,XY.3,XY.4,XY.5,XY.6,XY.7,XY.8,XY.9,XY.10,XY.11,XY.12,Compound,m.z,Retention.time..min.,LipidIon,Class,IonFormula,RT_LS,mz_LS,mscore,Grade,FattyAcid,MeanIntensity,Mode
42079.16466,102277.9659,154783.1551,92615.22476,127252.8764,97009.93683,142521.3601,126154.4578,120155.9289,132835.3655,130817.4179,116644.9917,130476.8174,0.95_275.2000m/z,275.2000272,0.951366667,0,0,0,0,0,0,0,0,122795.4582,pos
117998.788,25958.65674,18811.89467,70660.88991,65464.46534,38180.45071,102190.0081,86877.59314,34295.73613,137649.574,47463.33868,55993.26807,51435.21682,0.95_666.3355m/z,666.3355467,0.951366667,0,0,0,0,0,0,0,0,61248.42436,pos
47003.11313,19544.34015,31539.70697,20370.26401,53619.06177,6617.439087,13881.41876,16951.362,34755.38045,19733.24264,8749.111816,9391.359009,16350.336,0.95_294.2270m/z,294.2269771,0.951366667,0,0,0,0,0,0,0,0,20958.58522,pos
2142.993047,24971.06179,24988.17094,0,12423.97402,48587.39671,13406.21221,0,19392.42188,1341.524469,0,0,0,0.95_1158.9335m/z,1158.93348,0.951366667,0,0,0,0,0,0,0,0,12092.5635,pos
2903.578825,96490.66138,146725.557,52839.99761,0,62609.89148,86541.2583,17391.02112,25749.70083,209990.1097,135678.8833,0,36130.29834,0.96_507.3757m/z,507.375661,0.95575,0,0,0,0,0,0,0,0,72512.28159,pos
37436.88448,93.49968823,0,20201.02614,77219.67627,0,8042.534302,0,12319.49524,23523.87891,0,1561.92981,1684.709045,0.96_366.2845m/z,366.284547,0.95575,0,0,0,0,0,0,0,0,12053.89578,pos
16343.07981,90864.85982,156055.8715,95573.14649,140684.1004,97649.77637,71233.12964,90160.86462,157175.9183,99952.20703,112331.2832,60735.24223,82171.22626,0.96_315.1559m/z,315.1559137,0.95575,0,0,0,0,0,0,0,0,104548.9688,pos
25313.15604,14503.48271,9460.880371,14973.26756,14024.6272,7901.638792,12029.09122,5563.326599,10803.34863,15515.08405,2537.036011,5446.359924,11011.74976,0.96_293.2315m/z,293.2315355,0.95575,0,0,0,0,0,0,0,0,10314.15774,pos
519014.1727,2517944.91,1750024.97,2272476.357,1991640.819,1753171.124,1681350.671,2282306.183,2392029.902,1879210.22,2499384.773,1717285.528,2357760.484,0.96_431.3238m/z,431.323804,0.960133333,0,0,0,0,0,0,0,0,2091215.495,pos
818525.894,1462328.911,1055945.849,1172034.997,1220345.267,889378.4907,1021509.387,1258273.321,1251552.236,1118616.618,1428770.155,1063887.431,1457149.849,0.96_409.3418m/z,409.3418162,0.960133333,0,0,0,0,0,0,0,0,1199982.709,pos
0,850528.0052,1106814.885,814040.6545,675318.1339,835281.2153,774034.3563,759698.7489,771833.6417,728428.8082,744247.1879,696355.5867,676650.2151,0.96_346.0087m/z,346.0087484,0.960133333,0,0,0,0,0,0,0,0,786102.6199,pos
59525.57666,732974.4121,1810977.104,727114.0883,744638.2732,779953.0676,642033.9671,767379.8373,1341753.361,1047307.467,1156183.293,530145.2479,491949.0461,0.96_786.3132m/z,786.3132166,0.960133333,0,0,0,0,0,0,0,0,897700.7637,pos
0,232114.5389,0,0,104803.261,147906.8561,191346.6579,180501.2173,269781.4697,116921.9071,226548.9868,315451.0543,181097.1463,0.96_618.1545m/z,618.1545235,0.960133333,0,0,0,0,0,0,0,0,163872.758,pos
0,173999.1109,0,0,33655.2686,228399.2701,228764.0318,132349.6221,519903.839,126189.197,476706.1871,701149.8842,145177.2946,0.96_925.9777m/z,925.9776512,0.960133333,0,0,0,0,0,0,0,0,230524.4755,pos
109133.1889,10811.31982,0,44877.45268,7115.247925,11183.88623,19585.71416,49780.54879,13644.66724,14389.34937,9317.84021,27294.30908,52483.31349,0.96_496.4467m/z,496.4466939,0.960133333,0,0,0,0,0,0,0,0,21706.97075,pos
88886.54788,74225.89964,172854.7793,97764.42222,51294.31274,67819.45292,57478.19191,68515.62736,111268.4387,74589.34209,89015.92322,18399.77525,48827.40035,0.96_458.3467m/z,458.3467483,0.960133333,0,0,0,0,0,0,0,0,77671.13048,pos
157997.2777,575444.5662,380479.9432,388114.6541,298516.6638,470928.7659,318171.9101,428579.834,305790.3581,331315.0697,285834.6285,210710.953,441949.9349,0.96_311.1828m/z,311.1827868,0.964516667,0,0,0,0,0,0,0,0,369653.1068,pos
268261.8716,652305.0108,958150.6981,739076.0693,644357.2993,742493.9092,730185.6566,910591.4177,755400.8895,951887.8081,978903.6081,639995.0214,561881.1056,0.96_770.3396m/z,770.3396076,0.964516667,0,0,0,0,0,0,0,0,772102.3745,pos
19878.48617,30739.18262,28096.92334,12052.37887,58191.14508,18046.20801,31595.745,30708.60179,49849.82129,30610.80005,39149.22949,12404.57568,13562.89771,0.96_430.2431m/z,430.2431347,0.964516667,0,0,0,0,0,0,0,0,29583.95908,pos
11832.81607,0,53416.78223,0,0,30380.12766,8700.328125,46688.43555,11462.38037,66195.46558,81885.49136,13400.37952,0,0.96_865.4329m/z,865.4329205,0.964516667,0,0,0,0,0,0,0,0,26010.78253,pos
0,35785.41026,59514.83252,48060.13606,125725.2673,98341.82599,107407.0587,101635.4631,88332.76232,7295.175532,42126.95803,55326.49649,89234.33739,0.96_616.3086m/z,616.3085815,0.964516667,0,0,0,0,0,0,0,0,71565.47697,pos
392162.3778,1718862.508,1759583.333,1292260.034,1886576.747,1420052.492,1439921.925,1437353.117,1723460.215,1501902.323,1862855.352,1379303.76,1474958.96,0.97_274.2735m/z,274.2735021,0.968883333,0,0,0,0,0,0,0,0,1574757.564,pos
89409.13537,656282.4353,784889.4767,506529.061,680898.3155,618290.2856,702136.3767,560718.0803,667561.8475,735358.4646,713277.1891,609966.0461,712531.4208,0.97_534.3181m/z,534.3181036,0.968883333,PC(18:2)+H,PC,C26 H49 O8 N1 P1,0.9735,534.318495,26.52279421,C,(18:2),662369.9166,pos
