1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,QC_1-00005,QC_2-00003,QC_3-00004,B_1,B_2,B_3,features
NA,0.0433,NA,NA,0.05,NA,0.0561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0221,24.9103,22.1487,NA,NA,NA,CE.14.0.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7163,0.8572,0.6936,NA,NA,NA,CE.14.1.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0515,7.2207,5.7854,NA,NA,NA,CE.15.0.
0.0949,0.0787,0.0848,0.1064,0.0944,0.0883,0.1122,0.2211,0.0602,0.1098,0.06,0.0568,0.0746,0.0671,0.2153,0.0488,0.095,0.0504,0.0945,0.0676,0.0894,320.5125,348.3517,314.3602,0.0665,0.0513,0.0416,CE.16.0.
0.0544,0.039,0.0478,0.0458,0.0527,0.0531,0.0673,0.0642,NA,0.0496,NA,0.0382,0.0527,NA,0.0844,NA,0.0477,0.0361,0.0457,0.0447,0.0448,76.3213,76.9033,69.7175,NA,NA,NA,CE.16.1.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6032,5.9379,6.179,NA,NA,NA,CE.17.0.
NA,NA,NA,NA,NA,NA,0.0815,NA,NA,NA,NA,NA,0.0373,NA,NA,NA,NA,NA,NA,NA,NA,34.2529,37.3448,29.851,NA,NA,NA,CE.18.0.
0.2158,0.1611,0.154,0.192,0.2345,0.2087,0.3581,0.3665,0.1448,0.2364,0.1067,0.1787,0.1601,0.0648,0.3469,0.0531,0.1655,0.0724,0.1201,0.0771,0.0969,499.6825,540.8304,503.7345,0.0752,0.043,0.0432,CE.18.1.
0.1095,0.064,0.0855,0.2015,0.1554,0.076,0.1126,0.6961,0.0685,0.1765,0.1227,0.0393,0.1107,0.0688,0.9952,0.0464,0.2837,0.1107,0.222,0.0972,0.1763,1459.9323,1500.0443,1459.756,0.2018,0.1307,0.1038,CE.18.2.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2237,54.9293,50.2635,NA,NA,NA,CE.18.3.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2733,1.6492,1.2757,NA,NA,NA,CE.18.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7597,1.6782,1.6432,NA,NA,NA,CE.20.0.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7175,1.1637,1.8364,NA,NA,NA,CE.20.1.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8538,1.4797,1.7624,NA,NA,NA,CE.20.2.
0.0201,0.0262,NA,NA,0.0257,NA,0.0317,NA,NA,0.0246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5059,34.6829,34.0895,NA,NA,NA,CE.20.3.
NA,NA,NA,0.0521,0.0329,NA,0.023,0.1665,NA,0.0446,0.0268,NA,0.0318,NA,0.2307,NA,0.0703,0.0365,0.0574,0.0365,0.0414,293.0351,304.2974,290.639,0.0442,0.032,0.0232,CE.20.4.
NA,NA,NA,NA,NA,NA,NA,0.0407,NA,NA,NA,NA,NA,NA,0.0522,NA,NA,NA,NA,NA,NA,67.8339,70.0344,66.783,NA,NA,NA,CE.20.5.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5893,0.5512,0.603,NA,NA,NA,CE.22.4.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2668,3.2992,3.222,NA,NA,NA,CE.22.5.
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8977,28.7579,27.0537,NA,NA,NA,CE.22.6.
0.0826,0.0666,0.073,0.0726,0.0645,0.0801,0.0944,0.0757,0.0967,0.1075,0.0804,0.0798,0.0858,0.0588,0.0685,0.0727,0.067,0.0568,0.0611,0.0658,0.0554,NA,NA,NA,0.0521,0.0599,0.06,CER.14.0.
1.6858,1.7509,1.7843,1.5091,1.7118,1.2235,1.9878,2.1655,2.8406,2.9331,1.2909,1.663,2.5623,0.5686,0.5508,0.5052,0.5823,0.6354,0.7281,0.5065,0.709,NA,NA,0.4113,NA,NA,NA,CER.16.0.
1.9519,1.8877,1.9374,1.6676,1.8848,1.44,2.1168,2.0991,2.559,2.9085,1.332,1.8275,2.2988,2.3548,1.9271,1.7222,1.9611,2.1066,2.5198,2.0064,2.4283,NA,NA,NA,NA,NA,NA,CER.18.0.
0.05,0.0541,0.0439,0.0422,0.0513,0.051,0.0637,0.0416,0.0702,0.0669,0.0329,0.0473,0.0694,0.0572,NA,NA,0.0528,0.0311,0.0465,0.0354,0.0515,NA,NA,NA,NA,NA,NA,CER.18.1.
0.1953,0.1796,0.1687,0.18,0.195,0.1526,0.2131,0.1988,0.2421,0.246,0.127,0.1592,0.215,0.1364,0.1192,0.1155,0.1248,0.1344,0.1513,0.132,0.1528,NA,NA,NA,NA,NA,NA,CER.20.0.
0.0285,NA,0.0242,NA,0.0326,NA,0.039,NA,0.0418,0.0427,0.0213,NA,0.0284,NA,NA,NA,0.0251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CER.20.1.
0.9872,0.938,0.923,0.7884,0.9256,0.7253,1.0459,0.9378,1.1954,1.3819,0.5369,0.8942,0.9996,1.0207,0.871,0.8485,0.9755,0.8687,1.0162,0.7747,1.0037,0.8339,0.8963,1.0127,NA,NA,NA,CER.22.0.
0.5991,0.597,0.5587,0.4118,0.5576,0.4612,0.7281,0.5671,0.891,0.839,0.4389,0.5199,0.8189,0.4114,0.3011,0.2649,0.3318,0.2513,0.3408,0.2077,0.2917,NA,NA,NA,NA,NA,NA,CER.22.1.
