peak,cell,es,se,pv
80.8,other,2.09333764768004,0.709584831426348,0.00317683501011219
108,ki67,2.02631303869912,0.699847894556797,0.00378721442027301
50,both,1.95548445195504,0.68976077300511,0.00458230528650376
653.5,other,1.80039850815314,0.668445505983664,0.00707250156496589
836.6,other,-1.7611223704642,0.663224675202348,0.00792159855134883
786.5,gfap,-1.76104947406835,0.663215054625797,0.00792327548849233
176.1,ki67,1.75342094662918,0.662209704006208,0.00810094456608502
862.7,both,1.73117843163326,0.659294693275091,0.0086444659529327
733.6,both,1.72602626691084,0.658622957337721,0.0087759961685703
123.8,both,1.72045489791038,0.657898050722825,0.00892070097536968
59.4,gfap,-1.67849823605149,0.652489031503652,0.0100980277174422
61.3,both,-1.6683167519275,0.651189926781899,0.0104085971229006
567.5,ki67,-1.66646788184823,0.650954591510733,0.0104661000130836
176,ki67,-1.64897347803125,0.64873653622292,0.0110275987863256
678.5,both,1.64575137954589,0.648329748519639,0.011134533556579
228.9,gfap,1.64505671658138,0.64824211865679,0.011157734853143
123.8,ki67,-1.63428196630634,0.646886140388336,0.0115243859720509
411.2,both,-1.62897450357955,0.646220444520818,0.011709764606559
142.4,other,1.62793492661586,0.646090227599953,0.0117464508755459
66.5,other,1.62273484486899,0.645439722710228,0.0119318327043024
133.3,ki67,1.61890055734104,0.644960986503723,0.0120705464170419
128,ki67,-1.61722424227685,0.644751931829122,0.0121317364822753
57,gfap,1.60367926624577,0.643068200593231,0.0126386065969425
59.7,ki67,1.58391250829253,0.640628662041493,0.0134196242469719
482.2,other,1.58153374221929,0.640336501618988,0.0135170523779763
275.4,ki67,1.55856626588594,0.637531437408656,0.0144976987524364
274.8,ki67,1.54436928993198,0.63581196550548,0.0151417129290824
250.6,gfap,-1.54407637988313,0.635776606532309,0.0151553173599337
482.3,other,1.54320373234526,0.635671291986709,0.0151959254593701
275.1,ki67,1.53509297008472,0.634694470077271,0.0155789505718085
712.5,both,1.53335244808069,0.634485325410569,0.0156624780745093
280.8,other,1.52250030739751,0.633185115418486,0.0161941375712424
73,both,-1.51021169142662,0.631720755081114,0.0168194135258106
224.3,gfap,-1.50997628572053,0.631692786047791,0.0168316387926323
359.3,other,1.49720069016522,0.630179584647656,0.0175094428074361
122,both,1.4934954237396,0.629742445117078,0.0177113871051975
115.8,ki67,-1.49179238166683,0.629541785563049,0.0178050313826029
737.5,ki67,-1.48877770425149,0.629186988472908,0.0179720838100637
374.3,ki67,-1.48158068857121,0.628342069044831,0.018377624835153
420.3,gfap,-1.47982847258617,0.628136809725409,0.0184778149977387
133.3,both,-1.47915808580434,0.628058325323801,0.0185162994525277
724.5,both,1.47608680044536,0.627699089270485,0.0186936950851563
839.6,ki67,-1.47549685717834,0.627630147929645,0.0187279746389412
193.4,ki67,1.47339962579167,0.627385225333624,0.0188503751465213
862.6,both,1.46202305225918,0.626061041059606,0.019529196515409
275.6,ki67,1.4619103230408,0.626047957260857,0.0195360502426104
279.8,both,-1.46169955716782,0.626023496913396,0.0195488712068545
639.6,other,1.45909673589534,0.625721639582762,0.0197079334450256
108.2,ki67,-1.45636450580826,0.625405196777688,0.0198763692487486
599.5,ki67,-1.45314056758347,0.62503236249129,0.0200770659929458
85.7,both,-1.45100093896475,0.624785257480211,0.0202114368968387
83.3,ki67,1.44836144134686,0.624480790036683,0.0203785025578209
87.2,ki67,1.44817694373127,0.62445952332293,0.0203902343276946
437.3,ki67,1.44205484034169,0.623754966319442,0.0207835717446218
