"","Cla_DB","exp1","exp2","invivo"
"1","LPE:3",-2.67423494101639,-1.23480191023242,-0.952537484192795
"2","PC:0",-2.92531374594601,-3.45804810278497,-0.423170237749398
"3","LPC:0",-1.47153126062311,-0.501045375496442,-0.740018711625006
"4","PI:3",-2.33230680369666,-3.71674569881806,NA
"5","SM:2",1.19781618003937,-1.33193812138353,-0.638915216382514
"6","Cer:0",-1.16527099820846,-4.14573286349945,NA
"7","TG:3",-1.44344549825243,-2.096827683777,NA
"8","PE:1",-2.10286716685093,-0.802297973274565,NA
"9","PG:1",-1.32985681532999,-1.56166241588892,NA
"10","AcCa:0",-1.04292722624923,-1.63829022302314,0.0954178161514554
"11","PE:6",-0.353715919685046,-4.22643538713934,NA
"12","PI:0",-2.79456679296015,-0.181994763091088,NA
"13","LPE:0",-0.924632895998317,-0.211807600092327,-0.481127366433723
"14","PS:3",-1.28417208866893,-0.662619720552974,0.411064529701571
"15","PE:2",-2.0218756594109,-0.460644679580733,NA
"16","PE:3",-2.52719049236706,-0.067297645236087,NA
"17","PE:0",1.69965633215581,-0.0267204435295588,-0.688918049551333
"18","PC:1",-0.217534937268444,0.787822890450894,-0.59344358412931
"19","SM:0",-0.255918095928366,-0.706750495071641,0.240894135741304
"20","PS:0",-0.865192940051234,0.30114319227387,-0.411064529701579
"21","DG:1",-0.371911133468123,-0.556042805828197,NA
"22","TG:1",-0.543636625841784,0.31887121446578,-0.36426102382436
"23","PS:1",-1.13456731933852,-0.104716113110717,NA
"24","TG:0",-0.491578759037737,0.885961121196126,-0.17940541282612
